time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,5.248,45.778,294.583,3.381,98.072,0,6.879,1.224625,-6.3022083,6.6257273,339.79937,6.292,41.867,-9999,-2.77004,9.07078,13.9398,11.56,-0.37,0.39420041,0.87356382,839.03741,0.0034907759,288516.93
2012-01-02,2,-4.789,45.518,261.909,1.412,98.887,0,5.084,0.97729167,3.4850417,7.5049167,295.81296,4.777,42.06,-9999,-9.12538,-1.69042,37.908,-0.83,-7.68,0,0.858459,646.93686,0.0018108339,274229.89
2012-01-03,3,-6.649,123.507,208.104,1.536,99.378,0,3.858,0.54941667,26.830708,18.23475,285.51025,3.811,41.519,-9999,-9.84112,4.26367,30.7805,-3.36,-9.8,0.1216656,0.8713523,842.70682,0.0013692283,271256.58
2012-01-04,4,0.575,90.191,259.099,3.001,98.461,0,4.683,0.67308333,20.380458,11.252292,316.81988,3.628,41.089,-9999,-7.4955,2.42888,-3.70996,4.92,-3.92,0,0.88907801,1063.5747,0.0021321669,280424.04
2012-01-05,5,4.886,117.446,259.829,3.877,98.299,0,4.946,0.52083333,25.737375,14.565625,335.85404,4.241,40.764,-9999,-3.44487,2.00996,8.57767,11,-1.03,0.18984041,0.88966407,1029.9686,0.0030272779,286994.37
2012-01-06,6,10.18,120.739,276.245,6.564,97.712,0,5.729,0.68320833,19.700583,15.14625,360.95683,5.352,40.475,-9999,0.683208,4.85006,-2.95708,15.07,5.34,1.2,0.88853647,1345.9139,0.0037364297,294087.72
2012-01-07,7,6.347,117.259,261.149,4.028,98.297,0,3.386,0.51575,19.337458,13.89175,343.86833,5.829,40.584,-9999,-0.648667,8.69588,36.5848,11.13,3.21,0.19204394,0.894078,959.60612,0.003517386,289687.95
2012-01-08,8,2.87,102.652,262.403,2.918,99.147,0,2.868,0.24295833,24.407125,11.773625,327.85433,5.257,40.568,-9999,-3.79842,4.95258,15.103,6.2,-0.71,0.24694275,0.89710675,843.83507,0.0028851828,284613.06
2012-01-09,9,4.979,121.738,261.957,4.81,98.75,0,2.783,0.37310526,31.501292,14.033708,337.12954,5.328,40.349,-9999,-2.64967,4.08558,27.9023,10.04,1.01,0.12772275,0.89663746,1377.6306,0.0024593655,285668.06
2012-01-10,10,6.912,120.738,264.397,5.356,98.275,0,3.407,0.32729167,24.524417,13.959625,345.37858,5.332,40.103,-9999,-2.33938,3.06462,17.7435,12.86,1.4,0.14728,0.89636324,1346.4644,0.0029154129,288750.84
2012-01-11,11,5.756,12.383,335.981,1.63,96.827,21,2.952,-9999,3.53925,1.59275,342.69579,5.965,43.223,-9999,0.254542,-2.7089,-33.7666,7.7,3.91,0.074266288,0.88603474,348.39509,0.0048718972,292480.27
2012-01-12,12,-2.013,24.967,296.618,0.533,96.797,0,4.812,0.98688889,9.2640417,3.9016957,308.27387,5.619,44.066,-9999,-4.77537,-0.732027,34.3933,4.98,-9.63,0,0.86484683,179.39567,0.0030527113,280124.46
