time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-2.411,49.2,276.404,0.473,90.665,0,2.285,-9999,7.5034792,17.934771,301.66667,-1.112,18.603,-9999,-9999,10.6048,-5.07813,1.975,-5.916,1.2,0.73285422,162.73054,0.0031956068,280081.71
2012-01-02,2,1.663,57.168,303.881,2.214,90.372,0,3.214,-9999,27.904021,15.054104,317.47396,0.126,17.443,-9999,-9999,15.1307,-14.9444,9.0715,-6.0425,1.2,0.79155822,662.20046,0.003224844,284249.18
2012-01-03,3,3.075,82.502,288.848,2.246,90.892,0,1.84,-9999,33.537896,13.275708,323.58104,1.816,17.016,-9999,-9999,13.383,-4.33015,9.7095,-2.5035,1.2,0.86139042,604.82404,0.0036849692,286818.55
2012-01-04,4,7.046,81.632,305.625,5.501,90.788,0,3.189,-9999,39.361,12.2115,336.08188,3.287,16.662,-9999,-9999,16.8143,-10.3718,17.468,-1.7315,1.2,0.86987378,1382.5819,0.0031197782,289396.43
2012-01-05,5,2.905,93.749,300.741,2.162,90.97,0,2.876,0.4226,53.521458,15.256104,326.92687,2.79,16.494,-9999,-9999,20.194,6.16876,7.24,-1.9955,0.76600477,0.8600423,585.84142,0.0036768772,286627.47
2012-01-06,6,-1.695,62.296,282.478,1.008,90.681,0,1.255,0.1998125,26.018833,9.6083542,307.23958,-0.433,16.506,-9999,-9999,7.97495,6.90758,3.3155,-5.3025,0.53585983,0.86637312,346.94068,0.0030180617,280357.43
2012-01-07,7,-1.204,79.691,279.253,1.369,91.131,0,0.753,0.098604167,35.198396,16.445958,307.18187,-0.816,16.33,-9999,-9999,2.42499,8.37768,5.772,-6.6075,0.22448061,0.82893199,470.85585,0.0028916621,280534.89
2012-01-08,8,-0.152,101.715,262.881,1.977,91.105,0,0.778,0.079833333,33.894229,19.952792,310.71229,0.043,16.086,-9999,-9999,5.25667,16.2234,10.352,-5.283,0.24472313,0.83600597,666.49836,0.0027819762,281317.93
2012-01-09,9,3.645,78.09,287.017,4.496,90.739,0,1.834,0.26797917,24.918896,11.925646,326.19771,1.843,15.804,-9999,-9999,12.2411,-8.7071,10.6375,-4.351,1.2,0.86751586,1416.5792,0.0023584409,284075.08
2012-01-10,10,1.413,107.539,247.435,2.633,90.955,0,1.554,0.23439583,18.332708,19.303708,317.40625,1.825,15.771,-9999,-9999,11.0387,13.2677,6.486,-6.585,0.45414788,0.84781381,835.19458,0.0028325772,283017.26
2012-01-11,11,-5.887,35.565,252.944,0.479,91.354,0,0.795,0.10716667,-10.089104,5.6182917,291.88875,-2.383,15.927,-9999,-9999,3.10766,7.06817,-2.8835,-9.5855,0.30539622,0.86357837,210.81735,0.0023633327,274507.65
2012-01-12,12,-4.449,72.599,252.073,1.027,91.131,0,0.553,0.092875,13.113708,12.924229,298.86354,-1.562,15.552,-9999,-9999,4.93169,17.3783,0.049,-6.8165,0.22105299,0.84888048,434.96009,0.0023047846,275806.47
2012-01-13,13,-1.393,93.958,257.916,2.258,90.697,0,1.066,0.086794118,59.6205,24.195471,304.35118,-1.301,15.191,-9999,-9999,5.88338,8.72867,9.5365,-9.3345,0.40263892,0.79521998,869.80374,0.0022409189,278718.08
2012-01-14,14,4.773,96.203,274.304,1.931,90.039,0,3.482,-9999,-9999,-9999,-9999,1.079,14.988,-9999,-9999,9.96396,-2.30271,11.466,-2.2425,1.2,-9999,449.69766,0.0046091794,290835.56
2012-01-15,15,-3.916,83.901,278.258,1.893,89.791,0,3.11,-9999,-9999,-9999,-9999,-1.3,15.24,-9999,-9999,12.0735,-8.79827,-1.957,-6.016,1.2,-9999,863.92778,0.0018626158,275236.71
2012-01-16,16,-4.218,64.386,285.802,1.632,90.133,0,2.963,-9999,-9999,-9999,-9999,-1.881,15.088,-9999,-9999,12.5934,-14.6138,-1.957,-6.9185,0,-9999,735.78188,0.0019650939,275189.39
2012-01-17,17,-1.089,20.677,300.411,0.637,89.718,0,3.642,0.54123333,8.0831875,18.461625,312.20031,-0.997,14.747,-9999,-9999,18.3542,-28.4007,1.4065,-2.8435,0,0.52830165,203.01481,0.003479712,282120.58
2012-01-18,18,3.461,20.472,330.773,1.128,89.175,43.8,3.378,0.63780851,14.312437,10.713917,327.53917,0.503,19.226,-9999,-9999,20.7945,-60.4039,6.3315,0.0945,0,0.65645016,273.20829,0.0046875854,289713.02
2012-01-19,19,4.542,62.073,324.223,1.106,88.833,30.222,2.862,0.667875,68.525912,9.738,336.49,3.36,23.322,-9999,-9999,26.7246,-60.8424,8.193,2.678,0,0.86439403,248.82442,0.0051562353,291971.05
2012-01-20,20,2.739,19.968,314.306,0.646,88.704,7.884,1.087,0.26825,-9999,-9999,-9999,1.343,21.301,-9999,-9999,15.1901,-21.2309,6.5235,0.5635,0,-9999,159.18456,0.0047774897,289212.17
2012-01-21,21,1.092,45.092,303.686,1.558,88.811,1.022,3.763,0.6616875,32.193031,20.273781,311.37313,0.541,20.366,-9999,-9999,40.4944,-43.5086,6.079,-1.1605,0,0.68984106,459.86123,0.0035484639,284484.37
2012-01-22,22,-0.422,46.635,303.298,1.173,89.213,1.46,0.98,0.18664583,25.259792,15.382625,310.08208,-0,19.5,-9999,-9999,8.68166,-2.66406,4.6125,-6.242,1.2,0.75196366,373.87899,0.0033214629,282395.3
2012-01-23,23,-0.956,93.213,273.629,1.325,89.792,0.146,0.654,0.091479167,39.6825,15.563708,310.76542,0.384,19.074,-9999,-9999,13.3887,15.9647,4.4135,-3.6555,0.45612093,0.85692058,445.43186,0.0030367645,281146.88
2012-01-24,24,1.703,13.375,311.714,0.774,90.032,24.382,1.606,0.34233333,0.5039375,2.498087,321.42021,0.669,20.366,-9999,-9999,14.2231,-35.8944,9.3085,-3.552,0,0.84262123,206.10871,0.0042501345,286852.6
2012-01-25,25,6.596,123.133,274.904,3.484,90.733,2.044,3.614,0.64575,38.001042,17.936937,341.41667,4.813,20.676,-9999,-9999,33.8101,-13.7776,8.033,4.7945,1.2,0.87285074,784.22851,0.0043001326,291895.06
2012-01-26,26,1.773,132.053,271.702,1.952,90.831,5.402,3.037,0.49725,60.862563,19.887771,322.79833,2.326,19.917,-9999,-9999,33.8964,9.90626,5.1595,-4.9575,0.77384341,0.8691084,566.10037,0.0034260896,284862.84
2012-01-27,27,-3.954,132.8,229.766,1.718,91.493,0,0.911,0.0926875,46.542979,22.147813,295.55771,-0.921,19.328,-9999,-9999,8.60857,23.8942,4.474,-10.934,0.2648565,0.85706276,766.7855,0.0019382956,275387.72
2012-01-28,28,-1.041,95.255,259.061,2.637,91.256,0,0.702,0.094833333,29.710396,15.233146,309.63958,-0.41,18.591,-9999,-9999,6.50027,14.0634,9.8635,-8.805,0.31610457,0.86212869,1033.221,0.0020667867,278636.51
2012-01-29,29,5.022,68.936,302.267,3.726,90.171,3.358,1.778,0.35085417,28.400208,10.435646,331.6525,2.274,18.123,-9999,-9999,13.2273,-28.066,13.1485,-1.4015,0,0.86852174,966.80308,0.0034623725,288218.79
