time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.9751204,-9999,6.183371,2.1420604,0.26209272,0,78.906083,306.86628,211.03784,153.89002,43.10658,11.593401,-9999,-9999,-9999,-9999,7.50113,-0.13032,14.954999,-9999,0.28011291,2357.3048,0.0015840121,282470.78
2012-01-02,2,2.8020275,-9999,4.8117501,2.288471,-9999,0,79.062136,308.32086,214.97709,152.33823,39.461555,-9999,-9999,-9999,-9999,-9999,7.49308,-2.05775,19.532906,-9999,0.25903908,1718.2147,0.0022399373,282931.63
2012-01-03,3,3.8603262,-9999,5.0515457,4.2395724,0.59950981,0,78.567768,316.98849,227.89542,159.99922,39.978192,-9999,-4.2215801,-9999,-9999,-9999,7.12541,0.07012,30.927955,-9999,0.24986492,1660.2842,0.0025148846,284682.59
2012-01-04,4,3.7059783,-9999,5.0233668,2.4551763,0.33167365,0,78.80964,314.1325,217.11882,156.19932,38.271296,-9999,-9999,-9999,-9999,-9999,7.42717,0.58357,20.914332,-9999,0.24501577,1672.4561,0.0024061551,284255.65
2012-01-05,5,3.9499302,-9999,5.658806,3.3328949,-9999,0,78.290146,313.14374,213.86049,160.12166,39.744413,-9999,-9999,-9999,-9999,-9999,7.92767,1.08089,21.093995,-9999,0.24821384,1994.2724,0.0020369056,283577.69
2012-01-06,6,4.1048581,-9999,5.2678819,4.0082385,-9999,0,77.737155,317.34121,224.04705,158.14624,38.175718,-9999,-9999,-9999,-9999,-9999,8.21274,0.77342,26.676361,-9999,0.24139504,1732.0617,0.0024446598,284752.78
2012-01-07,7,3.6526575,-9999,4.5549068,3.4537209,0.46437759,0,77.582102,314.88937,223.946,157.94109,37.307272,15.469943,13.759019,-9999,-9999,-9999,8.32114,-1.46382,29.690438,0.52926762,0.23621005,1443.407,0.0029440995,285546.92
2012-01-08,8,-2.6498587,-9999,1.0143113,2.8434351,0.47697667,0,77.684747,298.82497,270.10909,54.199705,18.770677,-9999,-9999,-9999,-9999,-9999,2.48646,-5.84663,6.7131483,-9999,0.34632434,374.63817,0.0033977906,280347.12
2012-01-09,9,-2.6981102,-9999,2.0170931,2.419943,-9999,1.8683,-9999,294.49731,233.49564,160.06821,49.530403,-9999,-9999,-9999,-9999,-9999,3.74117,-9.37746,49.536135,-9999,0.30943312,842.67175,-9999,-9999
2012-01-10,10,2.0260617,-9999,4.0116797,3.8735744,-9999,0,-9999,305.15799,216.95696,167.57399,42.215874,-9999,-9999,-9999,-9999,-9999,5.22433,0.13515,37.157087,-9999,0.25192378,1400.2047,-9999,-9999
2012-01-11,11,1.3179062,-9999,3.8615153,4.1874763,0.65926086,0,77.448186,308.68603,205.65936,166.63162,39.533188,27.422223,27.39884,-9999,-9999,-9999,5.18178,-2.51255,24.071758,0.50021326,0.23724902,1418.7644,0.0024100326,281865.33
2012-01-12,12,-3.5358602,-9999,2.9426875,2.1486224,0.31634492,0,77.803822,292.17614,207.8914,141.70725,35.443988,-9999,24.368083,-9999,-9999,-9999,0.91943,-10.78037,21.978531,-9999,0.2501212,1554.3137,0.001598033,274957.29
2012-01-13,13,-1.4987656,-9999,4.3360633,3.0597417,0.43985341,0,78.091774,294.53914,187.66511,169.52276,39.978506,20.468251,19.345505,-9999,-9999,-9999,3.34904,-5.66625,22.670223,0.51409997,0.23582972,2451.1887,0.0010164649,275550.65
2012-01-14,14,1.6818179,-9999,5.5333279,2.9351413,0.36867497,0,78.324219,306.11638,199.72256,171.38091,38.321017,20.651939,14.745704,-9999,-9999,-9999,6.38462,-2.90426,26.666074,0.58342695,0.22360142,2589.2155,0.0011593434,279104.34
2012-01-15,15,3.5996794,-9999,5.0709799,4.20548,0.61299007,0,-9999,320.49374,259.46626,150.13649,33.778426,21.614859,17.56235,-9999,-9999,-9999,7.65602,-0.32872,55.330586,0.55172023,0.22498479,1717.9078,-9999,-9999
2012-01-16,16,3.5321458,-9999,2.2406349,4.9091294,0.77131164,1.4287,-9999,323.43415,292.1495,74.280725,16.692583,0.42365191,12.065884,-9999,-9999,-9999,7.55522,-0.76944,26.303493,0.033920548,0.22472294,582.91847,-9999,-9999
2012-01-17,17,0.16906062,-9999,2.697408,3.2795205,0.5057636,0,-9999,308.62136,209.25195,170.4008,34.99597,1.4309169,38.003118,-9999,-9999,-9999,3.55078,-2.81942,36.035417,0.036286342,0.20537445,956.70727,-9999,-9999
2012-01-18,18,2.4095192,-9999,4.3705211,4.6761141,0.73817179,0,-9999,316.79719,218.75042,171.71738,33.057133,0.52048441,11.679102,-9999,-9999,-9999,7.87942,-2.78284,40.613482,0.042664104,0.19250895,1535.1706,-9999,-9999
2012-01-19,19,6.9221304,-9999,6.5074161,4.1716447,-9999,0,-9999,332.38175,237.86523,178.92666,33.017229,-9999,-9999,-9999,-9999,-9999,11.40475,2.52378,51.39291,-9999,0.1845294,1817.7611,-9999,-9999
