time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,5.264,69.358,272.657,0.601,102.402,0.3,1.38,0.1284375,8.7710625,-9999,-9999,9.374,-9999,-9999,-9999,3.38778,9.39401,10.735,2.2625,0.26504738,-9999,125.43596,0.0050461201,292421.37
2012-01-02,2,8.779,69.124,295.026,1.608,102.554,0.2,2.169,0.2145625,4.00575,-9999,-9999,9.392,-9999,-9999,-9999,2.7098,-8.43681,13.745,1.706,0,-9999,281.18904,0.0059017534,298093.03
2012-01-03,3,10.109,119.884,299.343,2.657,102.806,0.1,1.5,0.1494375,25.871917,-9999,-9999,9.459,-9999,-9999,-9999,8.64794,11.9382,16.37,6.7045,0.42008555,-9999,445.82178,0.0058924985,299406.54
2012-01-04,4,9.115,123.027,285.106,3.577,102.848,0.2,0.815,0.10645833,17.058917,-9999,-9999,9.718,-9999,-9999,-9999,6.68423,18.3187,18.34,1.818,0.26733787,-9999,671.56443,0.0048441191,295786.62
2012-01-05,5,10.23,131.474,281.683,4.067,102.498,0,1.505,0.15047917,16.665688,-9999,-9999,9.833,-9999,-9999,-9999,2.7505,1.29951,17.91,2.0645,0.67913413,-9999,722.05099,0.0051102297,297572.47
2012-01-06,6,9.765,134.013,280.702,2.724,102.192,0,2.999,0.2435,12.889188,-9999,-9999,9.896,-9999,-9999,-9999,4.96912,-1.93979,14.78,6.345,1.2,-9999,469.12755,0.0057143478,298615.44
2012-01-07,7,12.977,134.843,262.558,9.043,102.248,0,6.353,0.49802083,2.994875,-9999,-9999,10.097,-9999,-9999,-9999,1.99773,-57.4932,17.59,6.4705,0,-9999,1682.5418,0.0035975317,296551.46
2012-01-08,8,9.891,127.336,262.024,6.309,102.469,0,1.332,0.1288125,5.8205833,-9999,-9999,10.167,-9999,-9999,-9999,1.10058,-2.97076,15.395,4.601,0,-9999,1304.8063,0.0035729856,293388.67
2012-01-09,9,7.074,125.957,261.894,2.893,102.458,0,0.637,0.0821875,8.2473125,-9999,-9999,10.1,-9999,-9999,-9999,0.69093,6.67805,15.37,0.742,0.093761959,-9999,606.15905,0.0043657294,292539.44
2012-01-10,10,8.305,125.687,263.321,4.01,102.215,0,0.715,0.0960625,12.923042,-9999,-9999,10.094,-9999,-9999,-9999,1.23419,8.93922,16.065,2.7115,0.12131527,-9999,818.50927,0.0042320235,293442.33
2012-01-11,11,8.23,136.889,259.084,4.437,102.023,0.1,0.911,0.07875,14.422375,-9999,-9999,10.057,-9999,-9999,-9999,0.375722,2.20678,17.465,1.383,0.14548759,-9999,934.62712,0.0039443257,292647.71
2012-01-12,12,8.008,136.821,258.883,4.921,102.065,0.1,1.026,0.092104167,10.502292,-9999,-9999,10.055,-9999,-9999,-9999,0.617449,-0.145892,17.04,2.6435,1.2,-9999,1088.8952,0.0035465604,291430.19
2012-01-13,13,6.706,134.077,264.275,3.715,102.406,0,0.889,0.095333333,10.525667,-9999,-9999,10.019,-9999,-9999,-9999,0.403563,4.78251,15.8,0.126,0.077816683,-9999,841.82317,0.0037130108,290537.81
2012-01-14,14,7.245,136.893,261.609,3.898,102.235,0,0.674,0.081,10.924812,-9999,-9999,9.971,-9999,-9999,-9999,1.0575,2.10763,15.92,1.132,0.3341095,-9999,857.21875,0.0038332716,291380.15
2012-01-15,15,7.402,128.296,253.894,3.001,101.902,0.2,3.758,0.3885625,6.9517917,-9999,-9999,9.907,-9999,-9999,-9999,10.7867,3.35055,11.945,1.7225,0.76299846,-9999,617.90542,0.0044635602,293113.66
2012-01-16,16,5.188,143.921,231.985,4.18,102.604,0,2.344,0.21258333,12.273125,-9999,-9999,9.669,-9999,-9999,-9999,9.06018,5.52243,9.725,0.556,0.6213003,-9999,1109.9603,0.0028276095,286798.71
