time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,0.023,110.263,210.071,3.025,98.728,0,7.332,0.5293913,0.55004167,19.5875,304.37917,0.228,-9999,-9999,-13.05,40.0125,-29.0365,4.4,-4.32,1.2,0.84915345,1130.4093,0.0019536008,279422.87
2012-01-02,2,-5.68,112.837,191.333,2.038,99.458,0,3.908,0.27734783,4.8916667,20.170833,282.77925,-2.396,-9999,-9999,-19.525,12.7167,17.6542,-0.09,-11.8,0.41871331,0.84834853,1123.0575,0.0012327858,271889.31
2012-01-03,3,-1.087,96.033,245.35,2.717,97.953,0,3.91,0.26659091,22.575,15.775,302.86671,-1.871,-9999,-9999,-10.6583,8.37583,5.36696,8.95,-11.79,0.60947086,0.85890992,1080.3586,0.0018622772,278079.01
2012-01-04,4,4.729,102.679,248.883,4.375,97.994,0,3.167,0.18663636,10.3375,16.895833,323.47917,0.497,-9999,-9999,-1.44167,8.74896,0.81875,13.14,-3.63,0.91442571,0.85870076,1230.575,0.0026594759,285917.08
2012-01-05,5,6.585,111.363,268.038,5.913,97.138,0,2.471,0.17778947,26.595833,18.683333,333.09583,1.884,-9999,-9999,8.47917,9.47812,4.8856,18.82,-3.73,0.65986527,0.85633326,1611.7479,0.0024496966,287257.92
2012-01-06,6,3.622,59.9,264.854,3.679,97.095,0,3.566,0.26731579,-4.7291667,9.3958333,319.62083,2.122,-9999,-9999,-4.5875,9.42917,-8.82921,9.64,-4.27,1.2,0.86440984,1069.9811,0.0027205413,284957.21
2012-01-07,7,-1.925,69.283,246.042,1.783,98.092,0,1.266,0.076380952,4.8,10.108333,300.2375,-0.524,-9999,-9999,-10.4625,5.72391,10.9958,4.98,-7.84,0.34234505,0.87267712,678.21231,0.0022390306,278178.7
2012-01-08,8,-0.897,73.525,262.496,1.783,98.44,0,1.284,0.086166667,18.175,10.620833,306.9125,0.443,-9999,-9999,-4.52917,5.91472,15.9342,6.4,-4.96,0.27070995,0.87378064,624.84464,0.0024948409,279851.37
2012-01-09,9,0.692,115.554,240.496,2.7,97.952,0,2.05,0.16607143,27.845875,18.983333,309.42917,-0.153,-9999,-9999,-5.16667,9.48758,22.7456,10.72,-6.7,0.29434204,0.85889914,915.86417,0.0023693356,281134.55
2012-01-10,10,2.883,115.458,253.863,3.675,97.112,0,1.835,0.17923529,28.6625,18.65,321.50833,1.203,-9999,-9999,0.5625,7.93509,19.4226,15.91,-6.04,0.29004971,0.86093298,1140.099,0.0024637471,283572.53
