time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.81,16.427,298.261,1.303,97.946,0,4.7,1.0063696,-15.331375,1.8698837,327.52104,5.054,19.709,-9999,-2.07588,14.266,-5.63563,9.193,-0.953,1.2,0.89780316,311.67607,0.0042794178,289043.34
2012-01-02,2,-2.657,58.3,269.961,1.256,98.745,0,3.944,0.92138889,16.255063,11.001437,300.52171,3.901,19.552,-9999,-5.87617,17.179,25.5722,-0.962,-5.2105,0.40183667,0.84125239,476.51594,0.0023803753,277796.4
2012-01-03,3,-6.553,87.296,210.321,1.342,99.608,0,2.884,0.65488636,-0.58483333,14.668271,282.26965,2.916,19.443,-9999,-6.55521,9.64308,22.1981,-4.7625,-8.8585,0.30284933,0.85614303,705.4583,0.0015046168,271691.53
2012-01-04,4,-2.188,99.01,243.406,1.747,98.753,0,3.062,0.67221739,26.708063,14.647458,300.38773,2.047,19.351,-9999,-6.81594,8.18066,18.4592,1.493,-7.014,0.30708345,0.87112629,675.94771,0.0021822994,277772.56
2012-01-05,5,2.125,106.721,246.208,1.792,98.483,0,2.573,0.52485417,18.917604,15.653792,317.24417,1.989,19.284,-9999,-4.97529,5.50932,5.80554,5.707,-1.6275,0.48691013,0.8720832,499.77996,0.0033729376,285083.72
2012-01-06,6,7.772,113.317,261.243,3.69,97.849,0,3.619,0.78306522,15.341396,17.016667,341.01742,2.832,19.245,-9999,-0.4175,8.11476,1.61107,11.8725,5.2155,0.83435141,0.86943767,769.51315,0.0043768405,293268.71
2012-01-07,7,4.836,95.511,269.939,2.636,98.52,0,2.643,0.56754762,18.82125,14.912167,330.83725,3.521,19.214,-9999,-0.970667,8.39493,15.1851,7.0685,2.248,0.35601863,0.86495436,640.25106,0.0037881199,288846.23
2012-01-08,8,1.413,111.488,239.313,2.684,99.747,0,1.426,0.23368085,19.171917,16.332542,314.27646,3.183,19.176,-9999,-4.03533,5.92484,28.0696,4.349,-1.1645,0.1742885,0.87222287,855.64328,0.0025506118,282312.34
2012-01-09,9,2.503,76.253,246.689,2.737,99.088,0,2.654,0.52329787,-8.2633333,12.139167,317.93333,2.904,19.14,-9999,-3.33896,6.92687,-1.32889,5.6755,-0.5375,1.2,0.86266694,802.36565,0.0028792748,284229.45
2012-01-10,10,3.904,118.241,235.443,2.366,98.688,0,2.009,0.34389362,10.896667,18.313042,323.0734,2.941,19.106,-9999,-2.88756,2.97946,16.2926,8.6525,-0.2475,0.15459998,0.86589162,604.29123,0.0036076833,287458.48
2012-01-11,11,3.498,64.644,285.972,1.565,97.708,3.556,2.375,0.38259459,16.719333,8.8468958,324.47046,3.067,19.07,-9999,-1.79804,5.72476,-1.34118,8.7135,-0.1615,1.2,0.87961916,389.12876,0.0040106443,288057.85
2012-01-12,12,1.646,13.523,315.411,0.984,96.855,2.286,2.84,-9999,7.5636042,0.76213953,320.37725,4.004,19.196,-9999,-0.762208,16.2582,3.71094,4.7845,-7.028,0.81416626,0.94664809,267.0443,0.0037963621,285660.89
2012-01-13,13,-6.507,31.055,269.673,0.551,97.693,0,4.836,1.1567805,9.5543333,5.5215208,285.45215,2.586,19.329,-9999,-5.88173,16.6295,26.8391,-5.8945,-7.5725,0.38256351,0.84904193,256.13763,0.0020473022,273094.47
2012-01-14,14,-6.803,53.465,262.355,0.57,99.099,0,2.346,0.56375556,21.214063,10.149104,284.06898,1.908,19.3,-9999,-4.93408,6.95457,21.8588,-5.945,-7.457,0.24136607,0.84045827,271.55601,0.0019531246,272561.55
2012-01-15,15,-6.447,96.866,233.961,0.819,99.995,0,1.788,0.37286667,29.710625,16.669604,283.82669,1.765,19.255,-9999,-4.27229,5.03967,27.4584,-4.826,-7.337,0.15507598,0.8531773,393.38409,0.0018438244,272646.08
2012-01-16,16,1.821,60.627,282.518,1.298,98.699,1.016,3.52,0.71495455,17.033542,10.321319,315.59427,1.53,19.222,-9999,-5.04038,0.990492,-11.6882,7.5705,-7.173,0,0.85452342,356.19461,0.0035813962,285299.35
2012-01-17,17,7.095,25.378,330.021,0.723,97.707,13.716,4.251,1.0246944,9.251125,2.2045682,343.75654,3.919,20.1,-9999,4.17829,18.6062,-9.10739,12.066,-1.522,1.2,0.92007386,135.20324,0.005978182,296591.68
2012-01-18,18,-4.042,66.99,239.482,1.652,99.284,0,2.773,0.6453125,1.47125,8.9274583,295.16581,2.906,19.935,-9999,-5.04906,13.174,26.3076,-2.001,-5.366,0.33367442,0.88240573,735.91009,0.0018086073,274975.06
2012-01-19,19,-5.76,37.813,227.404,0.841,98.54,0,3.778,0.84220833,-29.288292,8.335125,284.99935,1.915,19.654,-9999,-5.64602,13.8644,-2.99027,-1.751,-12.6565,1.2,0.81938324,384.36419,0.0019859438,273691.81
2012-01-20,20,-10.946,72.11,227.424,0.585,99.441,0,1.724,0.3452,19.690188,13.92375,265.14471,1.533,19.466,-9999,-7.40048,3.17524,26.4431,-8.1055,-14.696,0.1072052,0.83815944,384.95665,0.001299305,266763.28
2012-01-21,21,-7.802,131.226,232.156,0.65,99.382,0.508,2.205,0.47178571,60.929896,24.613813,277.43544,1.274,19.346,-9999,-5.35106,3.79955,36.8306,-5.069,-10.0415,0.09351553,0.84205697,337.91633,0.0017262934,270990.47
2012-01-22,22,-2.558,31.856,282.883,0.282,99.027,5.08,2.663,0.47156818,9.334,7.2116875,297.95142,1.184,19.261,-9999,-5.0284,2.61455,-2.24849,4.126,-8.151,1.2,0.81540531,96.277134,0.0030107216,279471.76
2012-01-23,23,6.041,26.084,323.831,0.81,97.626,8.128,5.394,1.1499333,12.181667,3.0413721,334.87275,1.088,19.958,-9999,-3.27394,12.2461,-17.4215,11.674,0.718,0,0.89557654,162.62579,0.0054749599,294274.35
2012-01-24,24,0.177,25.77,295.53,1.51,99.188,0,3.143,0.7545,5.5436042,2.9519167,312.51058,1.476,19.967,-9999,-2.16325,13.8303,6.77782,0.6685,-0.503,0.67110925,0.89722425,474.78632,0.0029406339,282045.22
2012-01-25,25,-0.769,33.532,295.492,1.081,99.76,0,1.182,0.26513333,15.241271,3.5704792,309.97913,1.72,19.711,-9999,-2.26229,6.51896,12.0066,-0.071,-1.3185,0.35189004,0.9037671,350.37018,0.0029345643,281079.32
2012-01-26,26,0.524,18.772,313.366,0.622,98.313,5.08,1.921,0.47336667,15.556521,1.3116744,315.03658,2.073,19.595,-9999,-1.69531,7.7198,-0.8714,1.469,-0.9375,1.1272414,0.93468952,177.3514,0.0036309121,284119.65
2012-01-27,27,2.158,65.371,277.731,1.562,98.056,3.302,2.651,0.52014815,16.45175,7.2846458,318.74427,2.542,19.883,-9999,-1.20377,14.3592,-1.09551,4.989,0.617,1.0825947,0.89973737,426.93525,0.0035448548,285546.68
2012-01-28,28,0.437,100.718,257.401,1.456,98.603,1.524,4.37,0.99468085,32.746146,12.864083,311.81794,2.389,19.801,-9999,-2.98892,29.726,10.5318,1.7225,-1.081,0.73839107,0.88674197,446.97311,0.0030667661,282621.85
2012-01-29,29,-0.787,52.206,238.043,1.688,98.968,0,3.831,0.85334091,-23.85525,7.5430208,305.21219,1.826,19.676,-9999,-3.97233,13.1459,-3.55757,1.972,-3.9345,1.2,0.8737549,580.76509,0.0025705291,280151.14
2012-01-30,30,0.609,59.382,258.974,2.178,99.147,0,3.117,0.65734884,-1.8856875,7.4190833,311.68879,1.768,19.526,-9999,-4.16848,7.58034,-12.1357,8.0745,-5.8965,0,0.88893768,705.22116,0.0026450562,281740.44
2012-01-31,31,10.078,113.574,293.259,4.683,98.529,0,4.445,0.98913333,35.386167,15.60375,355.01742,2.857,19.436,-9999,3.41833,9.97975,3.79174,14.139,6.1085,0.72466741,0.87920714,867.46885,0.0048454167,296757.68
2012-02-01,32,7.183,56.208,308.303,1.431,98.854,0.254,2.232,0.50897778,12.294292,7.1187708,344.46165,5,19.372,-9999,3.23254,8.45756,4.14889,11.855,3.993,0.67089149,0.88758671,275.2794,0.0054986023,295481.17
2012-02-02,33,3.46,77.628,271.209,1.791,99.623,0,1.76,0.31716279,13.996396,9.7875833,324.08102,4.344,19.304,-9999,-1.36237,6.90054,17.8277,6.08,0.658,0.27905504,0.88803388,453.50752,0.0037784186,287439.1
