time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-5.248,4.991,273.361,0.15,95.191,0,5.452,0.81983333,-9999,-9999,-9999,-9999,27.675,-9999,-9999,-4.73577,-17.7349,-2.059,-10.745,0.2107534,-9999,60.714321,0.002612217,275772.05
2012-01-02,2,-12.635,27.074,204.006,0.335,96.6,0,4.786,0.66641667,-9999,-9999,-9999,-9999,26.025,-9999,-9999,-0.619,-11.447,-10.984,-17.072,0.051301177,-9999,239.05313,0.0012815549,265021.46
2012-01-03,3,-14.066,80.976,200.32,0.704,96.109,0,3.19,0.40966667,-9999,-9999,-9999,-9999,25.938,-9999,-9999,6.89313,-8.9625,-8.304,-21.137,0,-9999,622.33382,0.00088372634,262588.74
2012-01-04,4,-6.902,44.21,226.233,0.601,95.588,0,2.954,0.24275,-9999,-9999,-9999,-9999,26.263,-9999,-9999,5.17897,-4.50284,-1.704,-11.679,1.2,-9999,289.70531,0.0019865515,272545.62
2012-01-05,5,-1.586,67.115,252.722,1.08,94.858,7.83,3.142,0.38116667,-9999,-9999,-9999,-9999,29.138,-9999,-9999,2.96679,-17.2195,4.492,-7.06,0,-9999,371.38029,0.0028661562,280087.21
2012-01-06,6,2.729,80.782,242.628,2.217,94.588,0,4.163,0.52354167,-9999,-9999,-9999,-9999,31.534,-9999,-9999,-0.788511,-19.5441,5.379,1.137,0.038780607,-9999,611.3655,0.0034379536,285853.28
2012-01-07,7,-3.809,50.855,251.277,1.064,95.847,0,3.557,0.53616667,-9999,-9999,-9999,-9999,27.767,-9999,-9999,-0.846884,12.72,-0.221,-5.227,0,-9999,431.07346,0.0023080861,276457.92
2012-01-08,8,-3.664,58.151,229.49,0.893,96.392,0,2.765,0.35054167,-9999,-9999,-9999,-9999,25.379,-9999,-9999,3.04358,-9.37929,0.638,-6.943,0,-9999,350.83883,0.002438272,276929.11
2012-01-09,9,0.916,86.56,247.616,1.865,95.365,0,4.32,0.5795,-9999,-9999,-9999,-9999,27.425,-9999,-9999,2.49217,-4.63725,4.763,-2.209,0,-9999,572.70554,0.0030485892,283057.8
2012-01-10,10,1.214,87.498,244.863,1.698,95.221,0,3.017,0.31983333,-9999,-9999,-9999,-9999,27.45,-9999,-9999,3.68796,-2.50275,7.582,-4.754,1.2,-9999,502.57157,0.0032555018,283874.57
2012-01-11,11,-0.735,42.111,295.302,0.536,94.643,0.54,2.922,0.38141667,-9999,-9999,-9999,-9999,28.904,-9999,-9999,-2.45721,-14.2593,3.584,-7.483,0.146993,-9999,165.31017,0.0034626084,282433.6
2012-01-12,12,-9.831,29.61,266.05,0.117,94.745,0,5.672,0.81783333,-9999,-9999,-9999,-9999,28.367,-9999,-9999,3.38412,-6.3521,-8.073,-10.556,0,-9999,65.037817,0.001833127,269218.41
2012-01-13,13,-11.56,35.725,212.305,0.297,95.378,0,2.736,0.388,-9999,-9999,-9999,-9999,27.392,-9999,-9999,-1.95967,5.33712,-10.27,-13.08,0,-9999,193.57976,0.0014597617,266547.35
2012-01-14,14,-12.926,28.177,194.838,0.343,95.966,0,1.788,0.277,-9999,-9999,-9999,-9999,28.813,-9999,-9999,3.56973,3.57379,-11.546,-14.436,0.49971583,-9999,250.84443,0.0012497679,264649.54
2012-01-15,15,-6.691,59.252,225.729,0.457,95.854,0.27,3.72,0.60491667,-9999,-9999,-9999,-9999,30.829,-9999,-9999,4.77192,-0.285782,-2.818,-11.768,1.0637033,-9999,212.63438,0.0021134961,273075.04
2012-01-16,16,-4.165,21.638,243.688,0.354,95.205,0,2.586,0.353375,-9999,-9999,-9999,-9999,32.7,-9999,-9999,1.37254,0.668708,-2.934,-6.415,0.67240237,-9999,135.91559,0.0027092587,277103.07
2012-01-17,17,-11.556,36.708,225.266,0.277,95.844,0,3.78,0.51716667,-9999,-9999,-9999,-9999,30.067,-9999,-9999,-2.25899,8.17463,-6.374,-17.868,0,-9999,179.78951,0.0014661874,266567.44
2012-01-18,18,-14.891,80.788,195.747,0.55,95.425,0,3.782,0.54708333,-9999,-9999,-9999,-9999,26.6,-9999,-9999,4.09847,10.776,-8.76,-22.409,0.27553721,-9999,499.35499,0.00090221797,261805.84
2012-01-19,19,-23.017,86.151,153.6,0.293,95.659,0,3.955,0.50941667,-9999,-9999,-9999,-9999,26.275,-9999,-9999,0.862,14.4749,-18.384,-26.263,0.056204318,-9999,501.02181,0.00043785179,252478.29
2012-01-20,20,-20.627,42.891,186.284,0.505,96.195,0,2.068,0.18816667,-9999,-9999,-9999,-9999,23.863,-9999,-9999,4.78233,3.635,-15.443,-26.13,0.56815285,-9999,773.89162,0.00044376189,254895.02
2012-01-21,21,-14.604,68.091,201.07,0.779,96.146,0,2.929,0.42029167,-9999,-9999,-9999,-9999,24.521,-9999,-9999,3.68109,10.0602,-8.772,-22.025,0.26788533,-9999,741.46921,0.00077704822,261781.35
2012-01-22,22,-6.752,15.2,284.68,0.33,94.91,0,4.682,0.83020833,-9999,-9999,-9999,-9999,28.808,-9999,-9999,0.143784,8.35925,-5.188,-9.213,0.016909729,-9999,151.66208,0.0022066096,273246.51
2012-01-23,23,-5.666,9.464,293.761,0.046,94.232,0,4.162,0.63175,-9999,-9999,-9999,-9999,33.746,-9999,-9999,-1.26353,-11.8752,-4.463,-7.364,0.096168351,-9999,18.938332,0.0026220363,275376.51
2012-01-24,24,-7.311,71.426,230.922,0.419,96.117,0.54,3.652,0.50620833,-9999,-9999,-9999,-9999,30.679,-9999,-9999,4.01008,4.25354,-3.919,-9.681,0.48526917,-9999,202.93688,0.0020202625,272218.85
2012-01-25,25,-4.884,37.843,264.26,0.435,96.196,0.54,2.851,0.46083333,-9999,-9999,-9999,-9999,31.759,-9999,-9999,5.87208,-5.35404,-1.174,-9.672,1.2,-9999,177.23859,0.0024750621,275794.99
2012-01-26,26,-2.063,36.035,251.544,0.41,94.904,0.54,3.846,0.59941667,-9999,-9999,-9999,-9999,33.646,-9999,-9999,2.34638,3.44417,-0.901,-3.051,0.40520849,-9999,136.92975,0.0031818585,280397.08
2012-01-27,27,-4.092,77.394,239.57,0.836,94.99,0.54,3.173,0.38625,-9999,-9999,-9999,-9999,33.6,-9999,-9999,1.81306,-2.12533,0.525,-8.807,0,-9999,336.81391,0.0024150257,276440.85
2012-01-28,28,-8.44,15.629,225.951,0.304,95.224,0,4.172,0.58154167,-9999,-9999,-9999,-9999,33.775,-9999,-9999,0.882112,-11.5571,-6.449,-10.695,0,-9999,157.26974,0.0019205038,270834.81
2012-01-29,29,-11.313,84.811,190.222,0.71,95.846,0,3.157,0.405375,-9999,-9999,-9999,-9999,30.504,-9999,-9999,0.44467,25.4919,-8.746,-14.756,0.017144518,-9999,494.60988,0.0012169932,266188.67
2012-01-30,30,-7.561,58.259,263.047,0.789,95.228,0,2.956,0.40854167,-9999,-9999,-9999,-9999,35.259,-9999,-9999,8.95225,8.31704,-1.551,-14.596,0.51839132,-9999,411.44567,0.0017526472,271298.56
2012-01-31,31,0.328,74.547,275.226,1.427,94.749,4.59,3.237,0.401125,-9999,-9999,-9999,-9999,36.104,-9999,-9999,0.33475,2.1605,6.146,-3.946,0.13415489,-9999,440.46853,0.0031782105,282790.92
2012-02-01,32,-1.441,50.317,269.451,0.513,95.978,0,2.623,0.377625,-9999,-9999,-9999,-9999,34.967,-9999,-9999,-0.732542,10.9255,2.03,-3.364,0,-9999,165.70334,0.0032393879,281166.01
2012-02-02,33,-1.475,23.452,228.796,0.243,96.64,0,1.763,0.266625,-9999,-9999,-9999,-9999,34.446,-9999,-9999,0.028746,3.49067,-0.164,-3.049,0.0081678324,-9999,76.873829,0.0033827641,281490.29
2012-02-03,34,-0.031,88.887,220.682,1.324,97.295,0,1.255,0.16145833,-9999,-9999,-9999,-9999,34.604,-9999,-9999,-7.92075,12.916,3.674,-3.5,0,-9999,415.7537,0.003057825,282129.16
2012-02-04,35,-0.463,120.065,217.218,1.907,96.843,0,2.555,0.264875,-9999,-9999,-9999,-9999,33.104,-9999,-9999,10.1815,11.4771,6.08,-5.314,0.4700904,-9999,654.20603,0.0025748506,280487.56
2012-02-05,36,-3.063,81.724,216.297,0.748,96.58,0,3.271,0.443375,-9999,-9999,-9999,-9999,32.367,-9999,-9999,1.57783,15.7796,1.765,-5.454,0.090902282,-9999,276.86369,0.0026654415,278101.04
2012-02-06,37,-2.974,59.042,239.237,0.519,96.146,0,3.651,0.49216667,-9999,-9999,-9999,-9999,33.23,-9999,-9999,3.25057,11.3709,1.167,-5.611,0.22231486,-9999,186.50321,0.0028471827,278644.84
2012-02-07,38,-8.066,107.015,206.101,1.132,97.237,0,3.117,0.33458333,-9999,-9999,-9999,-9999,33.508,-9999,-9999,-0.256042,21.5495,-4.662,-11.249,0,-9999,652.59026,0.0014112754,269937.61
2012-02-08,39,-8.618,123.754,191.42,2.32,96.702,0,3.445,0.37333333,-9999,-9999,-9999,-9999,30.588,-9999,-9999,4.88029,16.3202,-1.108,-15.361,0.23019704,-9999,1937.4573,0.00056370581,267263.92
2012-02-09,40,-5.911,123.231,213.519,1.617,95.75,0,3.861,0.51125,-9999,-9999,-9999,-9999,31.2,-9999,-9999,9.00921,19.641,-0.287,-11.856,0.31445529,-9999,842.43633,0.0015090403,272347.8
2012-02-10,41,-12.613,86.097,202.836,0.501,96.323,0,4.847,0.61783333,-9999,-9999,-9999,-9999,31.904,-9999,-9999,-1.88069,2.75521,-5.145,-15.549,0,-9999,370.50717,0.0011805601,264791.09
2012-02-11,42,-15.312,105.858,178.993,0.804,96.869,0,4.702,0.62104167,-9999,-9999,-9999,-9999,31,-9999,-9999,4.25794,32.8997,-10.708,-20.254,0.11459124,-9999,827.07543,0.00068310273,260834.95
2012-02-12,43,-9.787,120.945,186.635,1.982,96.449,0,3.938,0.47554167,-9999,-9999,-9999,-9999,30.496,-9999,-9999,3.48513,19.787,-2.546,-16.676,0.14975552,-9999,1701.1483,0.0006027264,266186.63
2012-02-13,44,-7.11,58.304,217.275,1.505,95.449,0,2.786,0.35995833,-9999,-9999,-9999,-9999,31.859,-9999,-9999,5.99429,0.700542,-2.095,-13.11,0.89536078,-9999,855.87109,0.0013613135,270773.48
2012-02-14,45,-4.003,28.1,252.385,0.44,95.046,0,2.203,0.32525,-9999,-9999,-9999,-9999,35.846,-9999,-9999,1.96938,5.23142,-2.261,-5.48,0.27349461,-9999,168.56164,0.0026934333,277226.32
2012-02-15,46,-1.296,42.875,261.86,0.492,95.581,0.27,2.033,0.29595833,-9999,-9999,-9999,-9999,35.392,-9999,-9999,5.18987,3.40921,1.358,-3.838,0.60353782,-9999,157.06663,0.0033050456,281475.88
2012-02-16,47,-1.312,97.536,240.886,1.267,95.756,0.27,3.394,0.47958333,-9999,-9999,-9999,-9999,34.917,-9999,-9999,6.4129,15.3911,0.614,-3.752,0.29411576,-9999,434.88461,0.0027894617,280170.84
2012-02-17,48,-4.155,33.882,249.441,0.43,95.857,0.27,1.741,0.181875,-9999,-9999,-9999,-9999,32.95,-9999,-9999,-4.22067,-2.40363,-1.29,-6.047,0.63714959,-9999,166.32063,0.0026435239,276948.78
2012-02-18,49,-5.135,139.314,199.601,1.51,96.329,0,2.503,0.29883333,-9999,-9999,-9999,-9999,33.921,-9999,-9999,6.51525,42.815,-1.261,-9.828,0.13207413,-9999,722.59118,0.0017239047,273664.84
2012-02-19,50,-3.718,138.752,205.179,1.925,96.251,0,2.364,0.23908333,-9999,-9999,-9999,-9999,33.763,-9999,-9999,4.33104,22.8039,2.077,-9.92,0.15961119,-9999,867.48595,0.0017610496,275181.78
2012-02-20,51,-1.648,113.722,227.897,2.261,95.977,0,4.03,0.56554167,-9999,-9999,-9999,-9999,36.696,-9999,-9999,0.338791,9.24012,3.4,-6.482,0.035368425,-9999,890.62434,0.0020489411,277981.86
2012-02-21,52,-1.804,14.891,293.527,0.364,94.176,0.81,4.59,0.69329167,-9999,-9999,-9999,-9999,38.709,-9999,-9999,-3.25633,-18.3673,-0.463,-2.972,0.15059127,-9999,118.95622,0.003304193,280963.21
2012-02-22,53,-3.626,40.446,262.186,0.683,93.86,0,3.696,0.51341667,-9999,-9999,-9999,-9999,35.004,-9999,-9999,-3.35608,-2.51054,-2.509,-4.743,0.57206364,-9999,261.44945,0.0026525769,277503.06
2012-02-23,54,-4.295,78.218,224.125,1.003,94.436,2.16,1.698,0.19033333,-9999,-9999,-9999,-9999,35.463,-9999,-9999,1.93067,6.59133,-1.398,-6.86,0.22655128,-9999,418.57529,0.0022737275,275883.59
2012-02-24,55,-6.223,45.286,251.275,0.375,94.971,0.27,3.16,0.427875,-9999,-9999,-9999,-9999,33.754,-9999,-9999,2.53137,6.45246,-3.647,-9.306,0.28176958,-9999,166.89303,0.0022759104,273951.41
2012-02-25,56,-7.614,133.543,233.014,0.982,96.113,0,2.785,0.36475,-9999,-9999,-9999,-9999,32.634,-9999,-9999,3.68017,34.0956,-3.537,-11.707,0.097421442,-9999,530.76916,0.0016021379,270869.02
2012-02-26,57,-3.894,39.206,275.927,1.142,95.495,0,5.048,0.75883333,-9999,-9999,-9999,-9999,34.375,-9999,-9999,3.2399,-0.414916,0.5,-8.393,1.1468738,-9999,470.10416,0.0022465232,276218.59
2012-02-27,58,-5.499,122.942,241.702,0.845,96.469,0,3.889,0.535375,-9999,-9999,-9999,-9999,37.617,-9999,-9999,1.71125,52.3246,-3.282,-7.903,0.03166879,-9999,378.78322,0.0020776576,274183.4
2012-02-28,59,-5.115,32.983,255.253,0.495,96.5,0,3.559,0.51429167,-9999,-9999,-9999,-9999,35.863,-9999,-9999,1.75519,3.45943,-2.845,-8.286,0.3365902,-9999,206.46834,0.002380797,275327.17
2012-02-29,60,-2.175,27.026,281.795,0.107,94.319,0,7.328,1.0915417,-9999,-9999,-9999,-9999,43.892,-9999,-9999,0.468712,-4.01368,-1.106,-3.289,0,-9999,35.053761,0.003373588,280763.84
2012-03-01,61,-2.379,33.081,276.322,0.17,94.977,0.27,1.425,0.185125,-9999,-9999,-9999,-9999,46.258,-9999,-9999,2.12421,0.742,-1.27,-3.365,0.74112155,-9999,56.767194,0.0032574353,280268.44
2012-03-02,62,-1.901,48.104,262.567,0.258,94.626,0.81,1.447,0.178375,-9999,-9999,-9999,-9999,46.4,-9999,-9999,2.88935,4.7255,0.268,-3.762,0.37943623,-9999,84.086269,0.0033332273,280938.31
2012-03-03,63,-5.473,80.856,259.662,0.328,94.609,0.81,2.891,0.35691667,-9999,-9999,-9999,-9999,46.954,-9999,-9999,-0.151875,7.03742,-3.064,-10.214,0,-9999,137.61475,0.002464697,275177.13
2012-03-04,64,-9.144,123.516,223.37,0.529,95.488,0,1.726,0.167375,-9999,-9999,-9999,-9999,45.179,-9999,-9999,2.8735,14.52,-6.189,-11.425,0.16520539,-9999,298.96601,0.0016551203,269463.83
2012-03-05,65,-6.862,154.236,220.043,0.671,96.135,0.27,3.05,0.46166667,-9999,-9999,-9999,-9999,45.192,-9999,-9999,11.5868,29.8621,-2.481,-11.837,0.27954421,-9999,325.70185,0.0019371247,272462.25
2012-03-06,66,2.396,175.726,251.161,2.232,95.047,0.27,3.775,0.632625,-9999,-9999,-9999,-9999,49.708,-9999,-9999,8.95716,10.3281,9.404,-5.751,0.46445627,-9999,632.00036,0.0032972199,285166.78
2012-03-07,67,5.403,18.072,305.959,1.19,94.706,5.4,3.901,0.64075,-9999,-9999,-9999,-9999,54.046,-9999,-9999,-3.85456,-35.4849,9.408,-2.244,0.097982026,-9999,254.09603,0.0051251995,292758.76
2012-03-08,68,-4.155,187.145,245.472,1.121,95.806,0.27,5.082,0.79783333,-9999,-9999,-9999,-9999,44.517,-9999,-9999,6.88812,62.4222,-1.015,-7.316,0.099380871,-9999,469.63528,0.0021949959,275827.46
2012-03-09,69,-6.869,205.865,208.61,1.935,97.126,0,3.285,0.524875,-9999,-9999,-9999,-9999,41.768,-9999,-9999,3.31383,63.0969,-2.363,-12.148,0.049899015,-9999,1175.3127,0.0011051138,270375.19
2012-03-10,70,4.661,208.491,254.818,5.236,95.837,0,5.241,0.78308333,-9999,-9999,-9999,-9999,44.323,-9999,-9999,8.95796,13.8777,12.072,-4.665,0.39227944,-9999,1617.495,0.0021325812,284531.51
2012-03-11,71,10.679,215.431,275.378,7.876,95.847,0,4.026,0.647,-9999,-9999,-9999,-9999,43.153,-9999,-9999,7.26233,9.43913,16.242,5.297,0.43483204,-9999,1688.7602,0.0032283037,293318.9
2012-03-12,72,6.814,66.867,333.231,0.585,94.939,12.15,3.972,0.57675,-9999,-9999,-9999,-9999,43.267,-9999,-9999,9.53075,-34.1024,9.086,5.499,0,-9999,110.62559,0.0061172083,296656.84
2012-03-13,73,6.735,220.611,244.953,5.249,95.743,0,3.396,0.43304167,-9999,-9999,-9999,-9999,28.904,-9999,-9999,3.24244,23.4863,12.59,0.963,0.12130912,-9999,1329.152,0.0029840163,288744.47
2012-03-14,74,12.507,211.03,292.126,6.124,95.454,0,3.191,0.46654167,-9999,-9999,-9999,-9999,23.9,-9999,-9999,14.5403,11.3349,19.572,4.967,0.56193962,-9999,1012.6998,0.0054700512,300760.41
2012-03-15,75,9.492,189.227,266.895,7.557,95.998,0,3.106,0.29883333,-9999,-9999,-9999,-9999,18.404,-9999,-9999,8.02979,26.7905,16.53,3.989,0.23060664,-9999,1779.047,0.0027931063,291037.98
2012-03-16,76,13.233,180.511,309.153,5.368,95.848,2.7,3.461,0.50475,-9999,-9999,-9999,-9999,18.317,-9999,-9999,24.7435,22.6892,21.311,4.739,0.52165489,-9999,813.34068,0.0064026507,303821.54
2012-03-17,77,18.704,158.258,352.157,6.031,95.519,0,3.772,0.69179167,-9999,-9999,-9999,-9999,19.042,-9999,-9999,13.8779,-4.34446,23.691,14.391,1.2,-9999,642.62936,0.010173014,318745.81
2012-03-18,78,18.991,171.852,346.036,7.097,95.495,0,3.449,0.72604167,-9999,-9999,-9999,-9999,16.883,-9999,-9999,7.83129,-1.76254,23.415,13.84,1.2,-9999,763.7023,0.0097301132,317926.99
2012-03-19,79,18.508,191.91,346.232,6.14,95.409,0,4.178,0.92308333,-9999,-9999,-9999,-9999,15.859,-9999,-9999,24.748,-16.0685,23.053,13.844,1.2,-9999,664.61969,0.009939316,317964.58
2012-03-20,80,15.93,63.251,370.564,2.364,95.612,0.54,2.275,0.49204167,-9999,-9999,-9999,-9999,16.05,-9999,-9999,8.72367,-29.4991,18.543,13.777,0,-9999,271.56463,0.010293306,316258.67
2012-03-21,81,15.35,88.135,361.457,2.763,96.018,1.08,2.948,0.391375,-9999,-9999,-9999,-9999,14.696,-9999,-9999,16.4563,-2.96933,18.171,13.15,1.2,-9999,332.54594,0.009555312,313830.78
2012-03-22,82,12.767,45.998,352.796,0.168,96.332,4.59,3.402,0.34841667,-9999,-9999,-9999,-9999,15.733,-9999,-9999,-2.99846,-13.098,13.815,11.989,0.18628071,-9999,21.855713,0.0094629467,311003.95
