time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-33.989,1.215,184.633,0.108,98.316,0,1.038,-9999,-4.240375,-1.0402708,189.45542,-5.068,-9999,10.709,-25.3372,0.186483,3.59768,-31.92,-36.958,0.049279854,1.2,465.85115,0.00015167489,240735.99
2012-01-02,2,-32.325,2.08,170.656,0.128,97.592,0,1.805,-9999,-18.924354,-0.59025,190.25042,-4.786,-9999,10.709,-24.3253,0.314834,4.09332,-30.4645,-36.3095,0.071420826,1.2,477.786,0.00017898642,242476.59
2012-01-03,3,-37.891,1.406,155.14,0.082,98.215,0,0.96,-9999,-17.661146,-0.89210417,173.01696,-5.715,-9999,10.709,-30.8995,0.0813996,3.0641,-33.978,-40.823,0.025878115,1.2,515.16341,0.0001,236685.29
2012-01-04,4,-32.843,0.998,197.747,0.129,97.496,0,1.354,-9999,4.737375,-1.4376458,194.07327,-5.37,-9999,10.709,-28.2281,0.296008,3.47372,-30.1395,-38.081,0.078522376,0,509.65504,0.00016577727,241922.98
2012-01-05,5,-30.925,1.171,177.918,0.143,97.714,0,2.155,-9999,-16.354063,-1.5079583,194.94302,-4.965,-9999,10.709,-26.8536,0.27006,2.42815,-26.003,-34.8445,0.10008858,0,470.82162,0.00020659065,243952.6
2012-01-06,6,-27.639,1.158,188.807,0.18,97.972,1.5,2.247,-9999,-13.871458,-1.8627708,203.53348,-3.982,-9999,10.709,-22.3326,0.320919,0.849469,-24.515,-35.4245,0.27419881,0,442.81889,0.00028968782,247462.77
2012-01-07,7,-31.838,1.529,196.289,0.136,97.061,0,1.997,0.18063404,0.1571875,-1.0348125,197.25115,-4.436,-9999,10.709,-27.4814,0.361769,4.32961,-26.343,-36.948,0.077113574,1.2,487.91113,0.00018741418,242987.1
2012-01-08,8,-28.263,0.923,190.914,0.179,97.516,1.5,1.916,0.21430385,-11.858833,-1.6757917,203.28133,-2.778,-9999,11.356,-19.5817,0.391411,1.1915,-26.0745,-35.293,0.2472729,0,468.0901,0.00026888759,246783.65
2012-01-09,9,-34.248,2.338,153.873,0.113,99.511,0,3.741,-9999,-28.271125,-0.31325,182.79531,-1.97,-9999,14.591,-18.5185,0.155941,6.33452,-28.1295,-36.6915,0.024026182,1.1547105,505.81919,0.00014127141,240449.69
2012-01-10,10,-15.551,0.931,232.558,0.518,97.918,3,3.43,-9999,-11.213222,-2.1450208,246.21019,-1.869,-9999,14.591,-13.4537,0.478005,-0.841135,-6.6515,-26.5745,0,0,493.35519,0.00083438035,260972.95
2012-01-11,11,-11.653,2.953,242.984,0.441,97.693,0,3.619,-9999,-14.032024,-0.97808333,261.8354,-1.624,-9999,14.591,-10.1009,0.515029,-0.76656,-8.045,-16.2495,0,1.2,298.02228,0.0013213259,266107.8
2012-01-12,12,-21.952,2.414,222.123,0.262,99.116,0,3.075,0.31168785,-4.72,-1.2194167,228.29644,-1.34,-9999,14.591,-8.7189,0.56786,-1.58079,-16.763,-26.1765,0,1.2,398.49447,0.00050170783,253708.26
2012-01-13,13,-33.277,2.811,154.116,0.121,101.224,0,2.31,-9999,-28.172021,0.087104167,182.65817,-1.192,-9999,14.591,-18.5608,0.166208,1.40573,-26.4865,-39.3995,0.10573445,0.96994443,494.38804,0.00015472097,241459.17
2012-01-14,14,-39.96,4.006,130.38,0.071,102.579,0,3.226,-9999,-34.133833,1.01925,165.11277,-1.283,-9999,14.591,-30.1733,0.0312581,0.764094,-39.006,-40.965,0.039300959,0.79717427,549.64053,0.0001,234605.95
2012-01-15,15,-39.908,4.251,157.905,0.072,102.656,0,0.918,-9999,-10.149104,1.7033958,169.32031,-1.615,-9999,14.591,-39.744,0.0656666,2.32125,-31.2965,-43.2445,0.027511058,0.71392634,555.84522,0.0001,234658.21
2012-01-16,16,-36.208,5.252,148.768,0.094,102.62,0,1.666,-9999,-22.318229,1.3066875,172.99335,-1.833,-9999,14.591,-38.663,0.179188,1.81316,-31.418,-40.075,0.089938103,0.80076997,502.72559,0.00011219941,238407.21
2012-01-17,17,-40.646,5.657,139.594,0.064,102.133,0,1.09,-9999,-21.127312,1.80925,162.6934,-2.084,-9999,14.591,-45.6994,0.0909424,1.41105,-39.298,-41.903,0.060547843,0.75767621,524.52036,0.0001,233916.52
2012-01-18,18,-38.882,7.091,155.638,0.074,101.148,0,0.996,-9999,-12.492771,2.8282292,170.87713,-2.35,-9999,14.591,-46.3382,0.113458,2.17243,-35.588,-41.098,0.049634103,0.7148741,509.44538,0.0001,235689.34
2012-01-19,19,-27.596,7.52,183.111,0.225,99.529,0,1.775,-9999,-8.4234048,2.4650833,200.03248,-2.408,-9999,14.591,-36.0723,0.0262273,-4.89717,-14.585,-34.121,0,0.75312341,575.54909,0.00025860553,247428.28
2012-01-20,20,-21.908,7.309,171.873,0.359,98.758,0,2.606,-9999,-27.426914,1.0836875,209.07196,-2.299,-9999,14.591,-24.3562,0.247103,-9.23547,-14.843,-29.67,0,0.87087718,574.0944,0.00044498303,253610.67
