time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.4537319,-9999,0.28744914,2.9763148,0.3012446,0,98.322806,-9999,-9999,-9999,-9999,7.0813464,-14.162879,-9999,-9999,-9999,3.692009,-0.95365152,-10.516745,0,-9999,75.243863,0.0024987723,282223.68
2012-01-02,2,-1.2589921,-9999,0.19202669,1.5541475,0.17839131,0,97.546705,-9999,-9999,-9999,-9999,3.8930471,-5.4054347,-9999,-9999,-9999,3.52124,-5.4744871,-15.750095,0,-9999,59.629872,0.0023580157,279145.5
2012-01-03,3,3.6255908,-9999,0.29192401,1.2626555,0.15115653,0,97.973118,-9999,-9999,-9999,-9999,0.66635854,2.8974207,-9999,-9999,-9999,9.9761184,-1.6331751,2.7718231,0.18698087,-9999,66.482004,0.0032435636,286268.38
2012-01-04,4,6.3180799,-9999,0.44552789,1.6857742,0.19037131,0,97.505995,-9999,-9999,-9999,-9999,5.5935445,-7.3345637,-9999,-9999,-9999,11.980484,0.30164197,6.8256185,0,-9999,86.329172,0.0034943545,289601.31
2012-01-05,5,4.5192467,-9999,0.40888594,3.3956832,0.35393872,0,97.665029,-9999,-9999,-9999,-9999,11.270691,-9.8777766,-9999,-9999,-9999,8.6672482,-2.18335,-15.569481,1.2,-9999,88.560155,0.0028699511,286232.47
2012-01-06,6,-0.64285273,-9999,0.20161349,0.98778229,0.11321207,0,97.740663,-9999,-9999,-9999,-9999,3.8955943,2.9634503,-9999,-9999,-9999,3.0357486,-3.184307,-8.7734515,0.56794999,-9999,60.156245,0.0024532078,280002.7
2012-01-07,7,-9999,-9999,-9999,-9999,-9999,1.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.097148125,-9999,-9999,-9999,-9999,-9999
2012-01-08,8,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.1107065,-9999,-9999,-9999,-9999,-9999
2012-01-09,9,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.9429406,-9999,-9999,-9999,-9999,-9999
2012-01-10,10,-9999,-9999,-9999,-9999,-9999,0.508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.668389,-9999,-9999,-9999,-9999,-9999
2012-01-11,11,-5.4304682,-9999,0.20556323,1.1972447,0.16726253,0,98.819528,-9999,-9999,-9999,-9999,6.8842171,19.944345,-9999,-9999,-9999,-0.08651316,-9.5429577,-17.422906,0.2566003,-9999,84.784581,0.0013323989,272389.13
2012-01-12,12,-5.636406,-9999,0.16007175,0.74673614,0.11181759,0,98.489003,-9999,-9999,-9999,-9999,4.7538666,14.036224,-9999,-9999,-9999,-0.72763458,-10.756745,-0.25090688,0.2529986,-9999,66.622537,0.0015661158,272766.45
2012-01-13,13,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.8438671,-9999,-9999,-9999,-9999,-9999
