time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-3.7501271,-9999,0.82642774,6.97075,0.56179579,0.851,-9999,-9999,-9999,-9999,-9999,44.384427,-23.900635,-9999,-9999,-9999,0.80065842,-7.6276212,-19.213016,1.2,-9999,324.30855,-9999,-9999
2012-01-02,2,-9.1137335,-9999,0.81069892,4.1192917,0.35385433,0.079,-9999,-9999,-9999,-9999,-9999,20.844257,-5.8139919,-9999,-9999,-9999,-6.9656508,-13.602399,-11.977533,1.2,-9999,480.50158,-9999,-9999
2012-01-03,3,-8.1294671,-9999,0.5375962,2.8597161,0.2167475,0,-9999,-9999,-9999,-9999,-9999,11.690784,-0.97495711,-9999,-9999,-9999,-2.7283884,-14.284171,-0.43901258,1.0909829,-9999,281.59294,-9999,-9999
2012-01-04,4,-2.1841406,-9999,0.52632704,2.0261589,0.14843552,0,-9999,-9999,-9999,-9999,-9999,6.1441207,-6.2555203,-9999,-9999,-9999,2.5779024,-5.7403412,21.168011,0,-9999,179.14926,-9999,-9999
2012-01-05,5,1.243074,-9999,1.0595472,1.7817083,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.5743,-5.2583386,9.2843263,-9999,-9999,297.33202,-9999,-9999
2012-01-06,6,4.5020125,-0.63514236,2.3666123,3.7037318,-9999,0,-9999,326.14562,283.49417,52.716462,10.259771,-9999,-9999,1.9502606,-9999,-9999,6.6814,2.3539,-0.19476708,-9999,0.19462177,578.35973,-9999,-9999
2012-01-07,7,-1.5754408,-0.58811201,1.0313095,2.3804427,0.20230094,0,-9999,307.47208,248.83104,62.108617,12.953283,14.519728,5.4115729,-1.5033548,-9999,-9999,2.171,-4.5819,-9.4857071,0.72848873,0.20855854,352.69198,-9999,-9999
2012-01-08,8,-2.1208971,-1.3600736,0.68504812,1.5728281,0.12749238,0,-9999,302.64083,251.03604,73.940374,18.002647,-9999,-9999,-4.6042585,-9999,-9999,3.7581,-7.8354,4.3329348,-9999,0.2434752,235.63812,-9999,-9999
2012-01-09,9,3.013106,-0.77368764,2.1508432,3.3381745,0.26226521,0,-9999,320.12604,260.57437,79.102353,17.103469,12.225924,-6.345976,1.108834,-9999,-9999,8.4953,0.15918,2.4472171,1.2,0.21621948,577.64289,-9999,-9999
2012-01-10,10,2.5679119,-0.73551611,1.5980285,1.5767005,0.15497387,0,-9999,317.33188,261.80208,79.168061,16.512867,-9999,5.3175163,-0.78138422,-9999,-9999,11.683,-4.1346,7.1254027,-9999,0.20857991,425.30986,-9999,-9999
2012-01-11,11,-3.0753731,-0.69043465,0.37626863,3.5199271,0.33223331,0.494,-9999,301.07604,280.15875,21.217269,3.6835146,-9999,2.2107338,-5.4530102,-9999,-9999,2.7711,-10.924,-3.3835373,-9999,0.17360927,134.27251,-9999,-9999
2012-01-12,12,-11.594104,-4.0499556,0.46557893,4.0387917,0.42865342,0.146,97.616841,272.98083,254.24521,28.744385,5.5055629,14.420577,23.130002,-22.555538,-9999,-9999,-10.51,-12.597,4.5031971,0.38403075,0.19153525,314.77784,0.0013155714,266152.6
2012-01-13,13,-12.460021,-4.4696424,0.31772204,1.9195964,0.187522,0.28,-9999,266.75437,239.91146,43.873105,20.989382,6.0882266,6.5386444,-9.8981218,-9999,-9999,-10.864,-16.933,-3.959194,0.48216432,0.47841114,222.82962,-9999,-9999
2012-01-14,14,-11.189527,-4.6883792,0.17985361,1.294763,0.10654585,0,-9999,272.84146,258.42083,45.785246,19.616134,2.9833165,10.023038,-5.1327269,-9999,-9999,-6.8841,-17.763,11.748487,0.22937377,0.42843788,111.53689,-9999,-9999
2012-01-15,15,-2.3649944,-2.7163563,0.89789586,3.5845182,0.25603279,0,-9999,302.53688,252.1625,83.194393,26.816747,-9999,-9999,2.1498267,-9999,-9999,3.6473,-8.1224,6.0032704,-9999,0.3223384,320.90929,-9999,-9999
2012-01-16,16,-3.2156527,-2.1596854,0.90061961,2.5956901,0.2799309,0,-9999,300.81854,254.11333,64.797974,13.32424,9.3022477,-9999,-6.1862308,-9999,-9999,-0.74123,-6.8002,4.7685262,-9999,0.20562741,342.60381,-9999,-9999
