time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-30.638638,-1.4937021,-9999,-9999,-9999,0,94.211796,-9999,-9999,-9999,-9999,-9999,-9999,-6.6197199,10.968562,-9999,-29.219,-31.9783,-9999,-9999,-9999,437.36318,0.00022631441,244289.71
2012-01-02,2,-31.216665,-1.4976771,-9999,-9999,-9999,0,93.632047,-9999,-9999,-9999,-9999,-9999,-9999,-6.1409237,10.508958,-9999,-29.859,-32.1379,-9999,-9999,-9999,446.77793,0.00021352475,243676.81
2012-01-03,3,-29.888987,-1.5781354,-9999,-9999,-9999,0,94.142415,-9999,-9999,-9999,-9999,-9999,-9999,-6.633631,10.054688,-9999,-28.017,-32.057,-9999,-9999,-9999,426.49773,0.0002457887,245091.79
2012-01-04,4,-31.725115,-1.6850333,-9999,-9999,-9999,0,93.48182,-9999,-9999,-9999,-9999,-9999,-9999,-6.4427516,9.604875,-9999,-30.8077,-32.6595,-9999,-9999,-9999,452.87416,0.00020238258,243137.97
2012-01-05,5,-23.88344,-1.6241354,-9999,-9999,-9999,0,93.793801,-9999,-9999,-9999,-9999,-9999,-9999,-6.0106892,9.2166458,-9999,-13.315,-31.3506,-9999,-9999,-9999,406.10763,0.00044229474,251618.63
2012-01-06,6,-26.89534,-1.4954604,-9999,-9999,-9999,0,94.020042,-9999,-9999,-9999,-9999,-9999,-9999,-4.906308,8.9113125,-9999,-19.043,-31.3431,-9999,-9999,-9999,373.89115,0.00034139721,248339.43
2012-01-07,7,-27.672973,-1.2487042,-9999,-9999,-9999,0,93.060852,-9999,-9999,-9999,-9999,-9999,-9999,-4.6802488,8.7184792,-9999,-22.753,-31.9712,-9999,-9999,-9999,397.12182,0.00031482718,247491.48
2012-01-08,8,-29.005569,-1.1751208,-9999,-9999,-9999,0,93.59798,-9999,-9999,-9999,-9999,-9999,-9999,-4.2029991,8.6030625,-9999,-27.074,-30.9875,-9999,-9999,-9999,409.03915,0.000272992,246047.63
2012-01-09,9,-29.487285,-1.0824458,-9999,-9999,-9999,0,95.467183,-9999,-9999,-9999,-9999,-9999,-9999,-4.1583091,8.5234792,-9999,-22.294,-31.6908,-9999,-9999,-9999,423.43642,0.00025262946,245512.6
2012-01-10,10,-11.683437,-1.1416688,-9999,-9999,-9999,0,94.162838,-9999,-9999,-9999,-9999,-9999,-9999,-4.1568649,8.4119792,-9999,-4.578,-21.505,-9999,-9999,-9999,551.33699,0.0011578194,265668.44
2012-01-11,11,-9.699625,-0.99960313,-9999,-9999,-9999,0,94.019524,-9999,-9999,-9999,-9999,-9999,-9999,-2.8653034,8.3755208,-9999,-2.586,-17.624,-9999,-9999,-9999,400.8692,0.0015063913,268533.61
2012-01-12,12,-23.839771,-0.78103271,-9999,-9999,-9999,0,95.211711,-9999,-9999,-9999,-9999,-9999,-9999,-2.4360751,8.4196875,-9999,-17.79,-28.255,-9999,-9999,-9999,328.6987,0.0004629801,251714.23
2012-01-13,13,-32.033333,-0.78863187,-9999,-9999,-9999,0,97.098028,-9999,-9999,-9999,-9999,-9999,-9999,-3.0519659,8.4104583,-9999,-28.416,-35.3914,-9999,-9999,-9999,452.31578,0.00018904412,242794.86
2012-01-14,14,-34.903077,-1.0013883,-9999,-9999,-9999,0,98.295352,-9999,-9999,-9999,-9999,-9999,-9999,-4.3452101,8.2967292,-9999,-33.9293,-35.5872,-9999,-9999,-9999,504.33215,0.00013390792,239772.93
2012-01-15,15,-31.494529,-1.2967688,-9999,-9999,-9999,0,98.386337,-9999,-9999,-9999,-9999,-9999,-9999,-5.2145396,8.1031667,-9999,-26.823,-34.6341,-9999,-9999,-9999,458.20129,0.0001959124,243353.53
2012-01-16,16,-30.244425,-1.4154458,-9999,-9999,-9999,0,98.393511,-9999,-9999,-9999,-9999,-9999,-9999,-5.0756531,7.9170208,-9999,-27.182,-32.1831,-9999,-9999,-9999,434.40575,0.00022575045,244684.48
2012-01-17,17,-28.516435,-1.4706854,-9999,-9999,-9999,0,97.89384,-9999,-9999,-9999,-9999,-9999,-9999,-5.2087694,7.7999583,-9999,-22.362,-31.3373,-9999,-9999,-9999,410.34155,0.00027331652,246540.02
2012-01-18,18,-21.065625,-1.50645,-9999,-9999,-9999,0,97.012711,-9999,-9999,-9999,-9999,-9999,-9999,-5.2148189,7.6920833,-9999,-19.451,-23.111,-9999,-9999,-9999,346.87821,0.00057612312,254785.1
2012-01-19,19,-19.550125,-1.5130083,-9999,-9999,-9999,0,95.572548,-9999,-9999,-9999,-9999,-9999,-9999,-4.6879061,7.6357292,-9999,-16.171,-21.948,-9999,-9999,-9999,333.11644,0.00067536914,256556.3
2012-01-20,20,-17.200875,-1.7171208,-9999,-9999,-9999,0,94.855623,-9999,-9999,-9999,-9999,-9999,-9999,-4.3297389,7.6364583,-9999,-15.777,-20.333,-9999,-9999,-9999,668.58411,0.00066095304,258881.25
