time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,19.555,15.1925,-9999,2.5152083,0.16333333,-9999,-9999,-9999,-9999,142.27458,33.198958,1.6104255,-5.853125,-9999,4.0060417,-9999,25.81,15.51,4.7039583,0,0.23334427,3855.8653,-9999,-9999
2012-01-02,2,19.765,15.74625,-9999,2.5529167,0.17333333,-9999,-9999,-9999,-9999,142.51,33.660625,2.2820833,-7.128125,-9999,3.9995833,-9999,25.57,16.38,6.46875,0,0.23619834,3671.4896,-9999,-9999
2012-01-03,3,19.716875,16.183125,-9999,2.2802083,0.160625,-9999,-9999,-9999,-9999,140.42354,32.286458,2.2060417,2.87875,-9999,3.99125,-9999,25.29,15.88,10.479375,0.43385094,0.22992198,3457.8808,-9999,-9999
2012-01-04,4,20.064792,16.463542,-9999,2.6329167,0.18541667,-9999,-9999,-9999,-9999,143.63208,33.967292,4.781875,-0.77291667,-9999,3.9825,-9999,25.73,16.49,7.1366667,1.1927974,0.23648819,3542.4382,-9999,-9999
2012-01-05,5,19.308542,16.456875,-9999,2.4897917,0.16729167,-9999,-9999,-9999,-9999,129.55979,30.027292,1.8935417,-6.6025,-9999,3.970625,-9999,24.44,16.09,2.8145833,0,0.23176397,3595.6851,-9999,-9999
2012-01-06,6,18.059375,16.092917,-9999,2.503125,0.17604167,-9999,-9999,-9999,-9999,143.3325,34.049583,1.6379167,10.754583,-9999,3.95875,-9999,23.08,14.71,9.8904167,0.13217,0.23755661,3172.2824,-9999,-9999
2012-01-07,7,17.23125,15.4325,-9999,2.3616667,0.22875,-9999,-9999,-9999,-9999,141.36979,33.67,2.6264583,1.4308333,-9999,3.9347917,-9999,22.31,13.53,7.1275,0.64734275,0.23816969,3075.5148,-9999,-9999
2012-01-08,8,16.468125,15.021875,-9999,2.01625,0.26145833,-9999,-9999,-9999,-9999,149.0825,36.326042,2.8514894,0.75270833,-9999,3.8954167,-9999,19.85,14.49,6.5635417,0.79115787,0.24366402,3737.0968,-9999,-9999
2012-01-09,9,16.523333,14.929792,-9999,1.8297917,0.19416667,-9999,-9999,-9999,-9999,144.90083,34.090208,1.766875,5.8958333,-9999,3.876875,-9999,20.96,12.37,12.601458,0.23058101,0.23526579,3248.0899,-9999,-9999
2012-01-10,10,14.818125,14.560625,-9999,2.3704167,0.150625,-9999,-9999,-9999,-9999,146.53438,35.041042,2.525,17.415417,-9999,3.8666667,-9999,19.81,11.03,16.978333,0.12662724,0.23913189,2618.1408,-9999,-9999
2012-01-11,11,16.028333,14.770208,-9999,1.48875,0.150625,-9999,-9999,-9999,-9999,93.938125,21.889375,-0.36208333,5.2689583,-9999,3.8614583,-9999,20.77,12.18,5.1395833,0,0.23301908,2520.7133,-9999,-9999
2012-01-12,12,16.749583,15.450417,-9999,1.8777083,0.18916667,-9999,-9999,-9999,-9999,134.59771,31.199583,2.27875,3.0416667,-9999,3.858125,-9999,20.36,14.6,9.386875,0.42830292,0.23179877,3785.6623,-9999,-9999
2012-01-13,13,15.54,14.183125,-9999,2.2795833,0.233125,-9999,-9999,-9999,-9999,155.34938,37.4775,2.1041667,-9.733125,-9999,3.8210417,-9999,21.14,10.41,1.6929167,0,0.24124655,4478.2623,-9999,-9999
2012-01-14,14,14.804792,13.442708,-9999,2.2754167,0.14833333,-9999,-9999,-9999,-9999,91.164583,22.343958,1.8410417,-8.30375,-9999,3.7847917,-9999,18.45,11.61,-14.185208,0,0.24509472,3942.5116,-9999,-9999
2012-01-15,15,13.183958,13.698958,-9999,1.4533333,0.18625,-9999,-9999,-9999,-9999,102.7325,24.17,0.87531915,15.483125,-9999,3.774375,-9999,16.46,11.05,15.7325,0.053508704,0.23527121,3016.2906,-9999,-9999
