time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,22.635833,10.4525,-9999,0.66041667,0.13041667,-9999,-9999,-9999,-9999,141.10333,19.090417,24.724043,26.19875,-9999,18.241042,-9999,24.81,19.94,61.080208,0.48552016,0.13529387,3985.1333,-9999,-9999
2012-01-02,2,22.237083,10.580833,-9999,1.0079167,0.16229167,-9999,-9999,-9999,-9999,142.26208,19.627708,21.422708,17.670833,-9999,18.012292,-9999,24.84,19.98,61.195833,0.54798587,0.13796866,3796.7012,-9999,-9999
2012-01-03,3,22.01,10.97,-9999,0.91958333,0.14083333,-9999,-9999,-9999,-9999,138.92333,19.07375,23.070625,26.222083,-9999,17.820417,-9999,25.1,18.68,58.692292,0.46803322,0.13729695,3456.1259,-9999,-9999
2012-01-04,4,23.102917,11.440833,-9999,1.059375,0.20520833,-9999,-9999,-9999,-9999,141.87333,20.509583,28.020417,8.5089583,-9999,17.636667,-9999,26.65,20.36,48.373333,0.76706532,0.14456264,4133.6666,-9999,-9999
2012-01-05,5,21.6275,11.44375,-9999,0.80645833,0.17854167,-9999,-9999,-9999,-9999,141.16208,18.967083,24.39125,19.977083,-9999,17.417083,-9999,24.91,17.91,60.951875,0.54974456,0.13436387,3966.4648,-9999,-9999
2012-01-06,6,16.992083,11.0275,-9999,1.5375,0.19541667,-9999,-9999,-9999,-9999,142.36125,19.26875,17.329167,36.253333,-9999,17.140208,-9999,20.3,11.95,61.244375,0.32341094,0.13535109,2579.1761,-9999,-9999
2012-01-07,7,12.884583,10.438125,-9999,1.58625,0.2875,-9999,-9999,-9999,-9999,141.58167,19.808125,3.5383333,21.957708,-9999,16.879167,-9999,16.63,8.18,51.705625,0.13877971,0.139906,1528.1599,-9999,-9999
2012-01-08,8,15.996458,11.120208,-9999,4.77625,0.69,-9999,-9999,-9999,-9999,144.54396,22.285833,34.210213,-21.123333,-9999,16.706042,-9999,19.11,13.69,21.860833,1.2,0.15418032,3902.8827,-9999,-9999
2012-01-09,9,16.516875,11.504792,-9999,1.3172917,0.27666667,-9999,-9999,-9999,-9999,143.905,19.960625,17.604167,19.356458,-9999,16.544167,-9999,21.06,13.36,51.794167,0.47629516,0.13870696,3291.9146,-9999,-9999
2012-01-10,10,14.17,10.415625,-9999,0.86229167,0.15270833,-9999,-9999,-9999,-9999,144.49896,19.559583,16.336667,40.0125,-9999,16.219583,-9999,17.01,12.1,66.335208,0.28991851,0.13536141,2628.2872,-9999,-9999
2012-01-11,11,15.024375,10.417917,-9999,1.0520833,0.20979167,-9999,-9999,-9999,-9999,91.594375,9.5647917,7.5335417,15.514792,-9999,16.015,-9999,17.99,11.92,30.060833,0.32685841,0.10442554,2506.0271,-9999,-9999
2012-01-12,12,16.893125,11.589167,-9999,1.7904167,0.40145833,-9999,-9999,-9999,-9999,140.00896,17.919167,14.121489,2.615625,-9999,15.88125,-9999,19.45,14.74,44.564583,0.84372306,0.12798586,3579.1425,-9999,-9999
2012-01-13,13,17.324583,11.667917,-9999,1.81625,0.41604167,-9999,-9999,-9999,-9999,155.83292,23.709375,15.709583,-4.130625,-9999,15.744375,-9999,21.78,14.31,29.950833,1.2,0.15214613,5081.2701,-9999,-9999
2012-01-14,14,15.056458,10.640833,-9999,0.94604167,0.14375,-9999,-9999,-9999,-9999,74.4025,8.2725,10.708542,4.4372917,-9999,15.465208,-9999,18.74,12.34,7.028125,0.70702889,0.11118578,4055.2654,-9999,-9999
2012-01-15,15,11.506875,10.511875,-9999,1.9660417,0.2725,-9999,-9999,-9999,-9999,95.166458,10.709583,18.412128,17.807292,-9999,15.315417,-9999,15.64,7.31,40.130625,0.50834961,0.11253527,1565.1521,-9999,-9999
2012-01-16,16,7.2125,10.495208,-9999,2.2754167,0.30458333,-9999,-9999,-9999,-9999,43.022083,4.833125,3.2470833,-4.9577083,-9999,15.731458,-9999,8.27,5.35,8.7972917,0,0.11234056,388.31635,-9999,-9999
2012-01-17,17,7.0485417,9.346875,-9999,0.96875,0.19416667,-9999,-9999,-9999,-9999,138.47917,17.189375,-9999,21.429167,-9999,15.594792,-9999,10.5,4.72,68.154583,-9999,0.12412968,641.86602,-9999,-9999
2012-01-18,18,10.354375,8.7554167,-9999,0.89020833,0.136875,-9999,-9999,-9999,-9999,152.97604,21.305833,19.105,33.258958,-9999,15.408542,-9999,14.97,6.33,69.656042,0.36485019,0.13927562,1086.648,-9999,-9999
2012-01-19,19,10.820833,8.7997917,-9999,1.39125,0.175,-9999,-9999,-9999,-9999,156.55229,22.560417,15.730625,43.021458,-9999,15.310625,-9999,14.95,7.7,69.418542,0.26774582,0.14410787,944.79756,-9999,-9999
2012-01-20,20,9.4114583,9.6352083,-9999,1.2089583,0.229375,-9999,-9999,-9999,-9999,145.12812,17.155625,9.971875,46.434792,-9999,15.3525,-9999,13.44,6.65,82.317083,0.1767854,0.1182102,408.54552,-9999,-9999
2012-01-21,21,9.23125,10.23,-9999,2.3375,0.32382979,-9999,-9999,-9999,-9999,53.092708,4.6285417,5.5089362,2.4989583,-9999,17.787917,-9999,11.37,7.8,14.61375,0.68793816,0.087178481,293.54956,-9999,-9999
2012-01-22,22,9.1629167,10.01875,-9999,1.8316667,0.27041667,-9999,-9999,-9999,-9999,106.85854,11.370833,-9999,10.464167,-9999,19.665417,-9999,12.31,7.36,43.893125,-9999,0.10641015,447.60511,-9999,-9999
2012-01-23,23,8.5604167,9.8341667,-9999,2.2839583,0.37645833,-9999,-9999,-9999,-9999,31.093125,2.6585417,-2.6165116,-13.498125,-9999,20.356667,-9999,9.86,6.76,0.082291667,0.16236864,0.085502556,300.63542,-9999,-9999
2012-01-24,24,13.121667,9.6254167,-9999,3.1170833,0.365625,-9999,-9999,-9999,-9999,159.01583,20.440417,-9999,-12.17125,-9999,21.692708,-9999,17.43,6.79,65.863958,-9999,0.12854328,1567.9843,-9999,-9999
2012-01-25,25,20.003958,10.825208,-9999,2.7133333,0.41520833,-9999,-9999,-9999,-9999,166.91646,22.345417,49.662273,9.7172917,-9999,22.05125,-9999,24.35,15.75,68.869167,0.83635293,0.13387186,2999.9502,-9999,-9999
2012-01-26,26,19.989375,11.368125,-9999,1.3475,0.20458333,-9999,-9999,-9999,-9999,165.24542,20.290625,32.580208,24.244375,-9999,22.055833,-9999,23.77,13.39,78.212292,0.57334707,0.12279085,2346.4612,-9999,-9999
