time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,15.884167,6.845625,-9999,1.6754167,0.19875,-9999,-9999,-9999,-9999,149.40396,23.81,7.7242553,39.888958,-9999,5.4670833,-9999,18.86,12.86,36.430625,0.16222924,0.15936659,3696.6835,-9999,-9999
2012-01-02,2,15.608333,6.7775,-9999,1.54625,0.19104167,-9999,-9999,-9999,-9999,149.72521,24.073542,7.5372917,44.055208,-9999,5.4547917,-9999,18.21,13.59,38.900417,0.14609278,0.16078483,3290.342,-9999,-9999
2012-01-03,3,16.760833,7.1354167,-9999,1.0175,0.16958333,-9999,-9999,-9999,-9999,145.82646,22.083125,8.0075,45.213333,-9999,5.4539583,-9999,21.07,13.67,42.206875,0.150458,0.15143428,3428.3104,-9999,-9999
2012-01-04,4,16.758125,7.2916667,-9999,1.568125,0.18666667,-9999,-9999,-9999,-9999,149.68812,23.642708,7.4820833,38.012292,-9999,5.441875,-9999,19.89,13.78,38.163125,0.16446172,0.15794645,3625.2124,-9999,-9999
2012-01-05,5,15.0475,7.3552083,-9999,1.2020833,0.154375,-9999,-9999,-9999,-9999,135.18917,21.211875,6.269375,36.935208,-9999,5.4285417,-9999,18.4,12.54,33.75125,0.14510903,0.15690514,3296.5977,-9999,-9999
2012-01-06,6,14.309583,7.2320833,-9999,1.3722917,0.21458333,-9999,-9999,-9999,-9999,149.96937,23.633125,6.555,38.643125,-9999,5.4125,-9999,17.89,10.22,41.473125,0.14502814,0.15758634,2829.0537,-9999,-9999
2012-01-07,7,11.986667,7.2627083,-9999,2.0620833,0.36958333,-9999,-9999,-9999,-9999,151.06542,24.618125,7.7647917,14.431458,-9999,5.4083333,-9999,16.06,7.52,29.027917,0.34982448,0.16296334,2660.4059,-9999,-9999
2012-01-08,8,8.4429167,7.0264583,-9999,3.455625,0.463125,-9999,-9999,-9999,-9999,159.67208,27.207292,6.6797872,19.484375,-9999,5.3875,-9999,11.2,5.98,27.218125,0.25530293,0.17039479,2959.4151,-9999,-9999
2012-01-09,9,9.7808333,6.4089583,-9999,1.5529167,0.23145833,-9999,-9999,-9999,-9999,154.07708,25.135625,5.0310417,41.2025,-9999,5.3445833,-9999,12.15,7.53,45.513958,0.108818,0.16313669,2477.5616,-9999,-9999
2012-01-10,10,10.308958,6.1364583,-9999,1.254375,0.18083333,-9999,-9999,-9999,-9999,152.66813,24.123958,4.919375,50.567708,-9999,5.3295833,-9999,13.6,6.88,49.845833,0.088658021,0.15801568,2198.4803,-9999,-9999
2012-01-11,11,11.804167,6.8822917,-9999,1.2783333,0.1725,-9999,-9999,-9999,-9999,104.92208,16.551667,4.8783333,27.854792,-9999,5.3485417,-9999,14.29,9.16,27.720833,0.14903354,0.15775198,2346.3183,-9999,-9999
2012-01-12,12,9.724375,7.2197917,-9999,1.541875,0.230625,-9999,-9999,-9999,-9999,139.84417,22.627292,6.7897561,33.685,-9999,5.3458333,-9999,12.11,7.23,36.551667,0.16775286,0.16180361,3236.7637,-9999,-9999
2012-01-13,13,9.8358333,5.6977083,-9999,1.7564583,0.22916667,-9999,-9999,-9999,-9999,164.0725,26.875417,-9999,45.3325,-9999,5.2672917,-9999,12.36,7.06,34.267083,-9999,0.16380208,4041.9184,-9999,-9999
2012-01-14,14,10.659583,5.42,-9999,1.6597917,0.18708333,-9999,-9999,-9999,-9999,96.1875,14.76125,-9999,13.085625,-9999,5.26125,-9999,13.37,7.27,9.415,-9999,0.15346329,3907.3959,-9999,-9999
2012-01-15,15,8.56875,7.2191667,-9999,4.8210417,0.74020833,-9999,-9999,-9999,-9999,143.54542,23.319583,5.5934043,42.9625,-9999,5.3177083,-9999,12.9,3.68,56.48,0.11519514,0.16245439,1779.3454,-9999,-9999
2012-01-16,16,4.3275,7.6841667,-9999,5.9914634,0.92268293,-9999,-9999,-9999,-9999,148.24917,26.031458,13.909268,25.361463,-9999,5.3222917,-9999,6.52,1.26,33.011667,0.35418918,0.17559261,618.93674,-9999,-9999
2012-01-17,17,6.25625,5.8545833,-9999,1.0202083,0.23375,-9999,-9999,-9999,-9999,164.30917,26.413333,4.6397917,59.410833,-9999,5.246875,-9999,9.13,4.21,49.395208,0.072439444,0.16075386,1826.965,-9999,-9999
2012-01-18,18,9.8235417,5.57625,-9999,1.4025,0.27729167,-9999,-9999,-9999,-9999,160.68708,25.420833,5.208125,36.668958,-9999,5.2385417,-9999,15.26,4.02,48.119167,0.12436695,0.15820085,2576.9085,-9999,-9999
2012-01-19,19,13.458958,6.4777083,-9999,2.899375,0.45708333,-9999,-9999,-9999,-9999,169.99875,27.582708,6.0833333,24.302083,-9999,5.2677083,-9999,20.1,9.37,39.145,0.20020569,0.16225242,3604.1521,-9999,-9999
2012-01-20,20,12.876667,8.6089583,-9999,4.4883333,0.71895833,-9999,-9999,-9999,-9999,157.08083,24.822708,5.116875,31.6825,-9999,5.3235417,-9999,18.21,9.15,48.939583,0.13904788,0.15802506,2057.2239,-9999,-9999
2012-01-21,21,8.6191667,9.06125,-9999,7.71875,1.1489583,-9999,-9999,-9999,-9999,152.54,25.985208,-1.6666667,47.429375,-9999,5.3314583,-9999,11.48,6.19,39.591875,0,0.17035013,924.85278,-9999,-9999
2012-01-22,22,8.116875,7.6354167,-9999,1.930625,0.34833333,-9999,-9999,-9999,-9999,126.82458,20.794375,8.1561702,24.973125,-9999,5.293125,-9999,12.48,5.1,32.693542,0.24619208,0.16396171,2001.1269,-9999,-9999
2012-01-23,23,5.9597917,7.6047917,-9999,4.380625,0.73270833,-9999,-9999,-9999,-9999,68.942292,10.005,3.1972727,-9.6866667,-9999,5.409375,-9999,8.22,4.1,-0.491875,0,0.14512137,774.02515,-9999,-9999
2012-01-24,24,7.6570833,6.72625,-9999,2.593125,0.356875,-9999,-9999,-9999,-9999,139.8375,21.1375,-9999,11.835,-9999,5.5310417,-9999,10.08,3.96,34.451458,-9999,0.15115759,1524.3913,-9999,-9999
2012-01-25,25,12.973125,7.6795833,-9999,2.81375,0.41083333,-9999,-9999,-9999,-9999,172.81917,27.403958,13.943409,32.242292,-9999,5.5275,-9999,16.01,8.95,54.962292,0.30189883,0.15857013,1976.4819,-9999,-9999
2012-01-26,26,16.88,8.4083333,-9999,1.8758333,0.33041667,-9999,-9999,-9999,-9999,174.02937,26.873333,13.430833,25.870833,-9999,5.5160417,-9999,20.66,13.53,55.426042,0.34173699,0.15441838,2582.8455,-9999,-9999
2012-01-27,27,11.621875,9.28,-9999,3.0004167,0.48833333,-9999,-9999,-9999,-9999,124.23958,20.391458,11.725,10.911458,-9999,5.5252083,-9999,14.65,8.23,14.854583,0.51796972,0.16413012,2033.8178,-9999,-9999
2012-01-28,28,9.8027083,7.9952083,-9999,1.92375,0.31666667,-9999,-9999,-9999,-9999,186.42833,30.69625,-9999,30.895,-9999,5.461875,-9999,13.55,5.94,43.648958,-9999,0.16465442,3649.0329,-9999,-9999
2012-01-29,29,11.6175,6.8579167,-9999,1.511875,0.19520833,-9999,-9999,-9999,-9999,173.33333,27.32375,-9999,49.62625,-9999,5.3979167,-9999,14.69,8.69,47.78625,-9999,0.15763702,3890.4409,-9999,-9999
2012-01-30,30,11.970417,7.1558333,-9999,1.963125,0.34041667,-9999,-9999,-9999,-9999,187.29333,29.839375,7.7883333,55.084792,-9999,5.3802083,-9999,17.27,8.46,65.194583,0.12387381,0.15931894,3321.6993,-9999,-9999
2012-01-31,31,11.399375,8.204375,-9999,1.509375,0.27041667,-9999,-9999,-9999,-9999,180.04271,28.680833,6.94875,47.314792,-9999,5.39375,-9999,14.35,8.52,58.616667,0.12805559,0.15930017,3255.1186,-9999,-9999
2012-02-01,32,11.674792,7.926875,-9999,2.8522917,0.468125,-9999,-9999,-9999,-9999,183.95646,30.545625,5.9916667,58.554375,-9999,5.3695833,-9999,15.82,8.43,55.084583,0.092827794,0.16604813,2356.0912,-9999,-9999
2012-02-02,33,8.7922917,7.6670833,-9999,1.415625,0.23833333,-9999,-9999,-9999,-9999,187.47146,29.927708,4.7258333,63.915,-9999,5.33125,-9999,11.78,5.04,62.204167,0.068848717,0.15963875,2524.512,-9999,-9999
2012-02-03,34,6.4058333,6.5839583,-9999,1.5939583,0.29166667,-9999,-9999,-9999,-9999,192.59438,30.786458,4.1710417,65.010833,-9999,5.2766667,-9999,9.33,3.75,62.5825,0.06029096,0.15985129,2562.1198,-9999,-9999
2012-02-04,35,7.1525,6.1829167,-9999,1.8422917,0.27625,-9999,-9999,-9999,-9999,192.64833,30.612917,3.8814583,65.703958,-9999,5.240625,-9999,9.98,4.43,68.764167,0.055779767,0.15890569,2043.1847,-9999,-9999
2012-02-05,36,8.0222917,6.47125,-9999,1.221875,0.22791667,-9999,-9999,-9999,-9999,194.175,30.502083,4.173617,61.865208,-9999,5.2425,-9999,11.36,4.55,74.740417,0.063199444,0.15708553,2086.72,-9999,-9999
2012-02-06,37,8.570625,6.9320833,-9999,1.259375,0.175625,-9999,-9999,-9999,-9999,133.3775,20.031042,3.9041667,46.082917,-9999,5.2360417,-9999,10.94,5.89,44.4275,0.07810351,0.15018306,2200.908,-9999,-9999
2012-02-07,38,7.6902083,7.55125,-9999,1.6785417,0.23395833,-9999,-9999,-9999,-9999,60.006042,8.5545833,2.7308333,12.934375,-9999,5.2491667,-9999,9.34,6.37,13.67875,0.17432474,0.14256203,2058.7474,-9999,-9999
2012-02-08,39,10.1825,8.1239583,-9999,2.0164583,0.273125,-9999,-9999,-9999,-9999,145.97708,22.929583,-9999,47.955208,-9999,5.2625,-9999,12.87,7.42,48.575625,-9999,0.1570766,2001.1894,-9999,-9999
2012-02-09,40,14.030625,8.528125,-9999,1.5041667,0.22395833,-9999,-9999,-9999,-9999,197.50875,30.443542,5.9834091,65.06875,-9999,5.26125,-9999,17.94,9.83,74.839375,0.084211503,0.15413769,2395.0756,-9999,-9999
2012-02-10,41,14.761042,9.2291667,-9999,2.0352083,0.37479167,-9999,-9999,-9999,-9999,202.83,32.306667,5.3,59.572083,-9999,5.276875,-9999,20.12,11.25,71.552292,0.081699241,0.15927953,2516.3155,-9999,-9999
2012-02-11,42,8.0275,9.9670833,-9999,5.4114583,0.86666667,-9999,-9999,-9999,-9999,209.30396,34.818333,0.736875,67.029583,-9999,5.29625,-9999,10.76,3.8,72.591875,0.010873742,0.16635296,1038.8189,-9999,-9999
2012-02-12,43,5.7654167,9.3897917,-9999,5.1,0.870625,-9999,-9999,-9999,-9999,208.31187,34.645625,6.332766,55.940625,-9999,5.2729167,-9999,10.27,3.01,70.347292,0.10169297,0.16631613,690.50451,-9999,-9999
2012-02-13,44,4.2704167,8.9870833,-9999,7.32375,1.1464583,-9999,-9999,-9999,-9999,167.50479,27.792708,5.6172917,50.731042,-9999,5.2533333,-9999,8.42,-0.29,56.246042,0.099688692,0.16592187,522.34565,-9999,-9999
2012-02-14,45,3.391875,8.1645833,-9999,3.974375,0.71479167,-9999,-9999,-9999,-9999,220.57875,36.802083,20.015208,52.556458,-9999,5.2272917,-9999,9.03,0.02,90.214583,0.27579921,0.16684329,633.98885,-9999,-9999
2012-02-15,46,2.209375,7.238125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.710208,12.466458,-9999,-9999,-9999,5.2247917,-9999,5.35,-0.71,20.820208,-9999,0.1604224,377.36855,-9999,-9999
2012-02-16,47,3.8241667,5.8320833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,125.19104,49.909375,-9999,-9999,-9999,7.3185417,-9999,7.32,0.15,14.101458,-9999,0.39866571,723.09134,-9999,-9999
2012-02-17,48,9.0935417,5.5825,-9999,1.6472917,0.264375,-9999,-9999,-9999,-9999,215.15604,47.06375,27.155417,24.813125,-9999,9.2477083,-9999,13.12,4.88,79.587708,0.52253567,0.2187424,2359.9179,-9999,-9999
2012-02-18,49,9.2470833,6.06125,-9999,3.1091667,0.47208333,-9999,-9999,-9999,-9999,218.62979,34.521042,35.177708,34.227708,-9999,9.21375,-9999,14.24,5.5,86.520208,0.50684385,0.15789724,2258.106,-9999,-9999
