time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,17.904,167.623,293.077,16.846,90.003,0,3.383,0.481375,35.222458,29.139646,394.79583,12.938,7.808,-9999,9.15175,18.1506,-0.631854,24.695,9.48,1.0360673,0.85190458,3098.3624,0.0025302144,298834.81
2012-01-02,2,18.559,168.712,291.544,18.098,90.142,0,4.145,0.61277083,26.380771,29.534083,402.22292,14.9,7.532,-9999,5.01115,15.5268,-12.6579,23.345,15.095,1.2,0.85102312,3363.0872,0.0022557423,298806.9
2012-01-03,3,15.995,156.359,294.035,15.219,90.114,0,1.717,0.19947917,36.356958,25.336625,386.94583,14.097,7.313,-9999,-0.880833,14.2374,23.1288,23.415,11.375,0.38102349,0.86055457,3207.4476,0.0020349189,295678.02
2012-01-04,4,14.928,169.511,281.067,14.286,90.127,0,2.318,0.321875,37.395833,29.565875,381.81667,13.679,7.123,-9999,-1.65631,11.7118,14.1321,21.985,8.11,0.45317464,0.85148514,3225.3812,0.0018486438,294140
2012-01-05,5,14.286,169.846,272.469,13.688,89.689,0,2.137,0.2728125,32.325896,28.971271,378.95,13.34,6.935,-9999,-2.5039,14.6317,29.7505,20.16,9.11,0.32967496,0.85428192,3199.3785,0.00179449,293359.4
2012-01-06,6,12.658,170.328,272.169,12.431,89.013,0,2.175,0.21214583,38.360813,28.881208,373.52083,12.847,6.768,-9999,-2.61515,14.9474,31.2182,20.825,7.833,0.32377788,0.85502072,3243.3565,0.0015415199,291090.84
2012-01-07,7,13.273,168.849,276.956,12.866,88.832,0,2.625,0.30279167,40.6625,29.368312,374.06042,12.862,6.602,-9999,-2.26033,16.4106,26.9499,19.995,8.3,0.37846888,0.8518378,3208.1379,0.0016609639,292007.52
2012-01-08,8,6.752,166.313,260.071,6.019,88.889,0,1.993,0.23797917,48.013042,28.561604,348.26042,11.615,6.493,-9999,-9.30294,10.499,51.4306,9.74,2.6845,0.16953121,0.85343599,1629.8907,0.0026818874,288006.23
2012-01-09,9,7.59,169.787,258.767,6.921,89.398,0,1.915,0.37383333,46.535,29.272958,351.21875,10.794,6.422,-9999,-5.28104,11.6349,54.9546,13.825,1.6095,0.17472575,0.85294401,1876.972,0.0024428852,288250.91
2012-01-10,10,9.243,168.824,268.048,8.312,89.295,0,1.646,0.220125,48.972292,28.251521,358.18125,11.089,6.313,-9999,-2.56196,12.1165,50.9964,17.21,2.6,0.19198135,0.85664622,2156.3567,0.0023378208,289649.52
