time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.0952327,-9999,3.6527992,1.6093298,0.12082975,0,85.581969,316.54082,223.52685,151.26943,40.924999,10.441827,19.484512,-9999,-9999,-9999,8.21087,-4.7153,17.330468,0.34891762,0.27054375,1335.3281,0.0024961883,281856.93
2012-01-02,2,-0.54395646,-9999,2.6937906,1.6670884,0.11238706,0,85.74343,314.70143,225.00685,150.60673,40.443718,7.7982089,18.430368,-9999,-9999,-9999,7.54867,-5.79153,20.468437,0.29731727,0.26853858,1016.7735,0.002752447,280850.19
2012-01-03,3,0.34601208,-9999,2.8326688,1.4363426,0.11118192,0,85.244663,319.24347,234.87858,151.53516,39.847124,9.1534738,29.104232,-9999,-9999,-9999,9.13621,-7.21805,27.323157,0.2392583,0.26295629,1004.73,0.0029350462,282201.11
2012-01-04,4,2.5418844,-9999,3.8371085,1.6781502,0.14911317,0,85.444555,320.59898,232.58128,148.63225,41.146946,7.8081913,20.874168,-9999,-9999,-9999,9.85262,-4.12678,19.467602,0.27222974,0.27683727,1249.1476,0.0029041511,284330.72
2012-01-05,5,0.45369583,-9999,3.2978935,1.6220182,0.11803876,0,84.930852,317.82007,226.76393,149.19592,40.844254,9.2974739,22.660853,-9999,-9999,-9999,9.97636,-6.21804,17.295526,0.29092492,0.27376254,1225.4128,0.0027601133,281872
2012-01-06,6,1.7291585,-9999,4.1346091,2.0649203,0.13203027,0,84.304046,322.91583,235.77565,149.67464,41.054974,9.3038076,14.215945,-9999,-9999,-9999,11.66731,-6.91155,21.479487,0.39557421,0.27429478,1510.5007,0.0028110716,283281.23
2012-01-07,7,3.7683808,-9999,4.9225974,3.2346322,0.22834875,0,84.036669,328.8694,244.27594,157.75184,42.204059,10.100714,23.272426,-9999,-9999,-9999,13.04104,-4.86406,30.954323,0.30265999,0.26753449,1608.3937,0.0031025799,286059.42
2012-01-08,8,1.558804,-9999,2.5677012,6.7915872,0.46448412,0,84.181635,324.89038,271.36531,123.21422,32.446272,8.3795274,36.89415,-9999,-9999,-9999,3.87755,-1.50467,37.242871,0.18508608,0.26333222,799.80717,0.0032027937,284089.33
2012-01-09,9,0.86760313,-9999,2.7989132,2.3023761,0.1885953,0,84.758891,324.07703,240.50199,153.20582,41.917616,8.1333963,23.213598,-9999,-9999,-9999,6.56057,-3.96215,27.713166,0.25946336,0.27360329,945.28157,0.0029621165,282792.98
2012-01-10,10,0.79505479,-9999,3.3082813,1.8258079,0.14209161,0,84.455537,319.18274,230.71669,159.47888,42.628272,6.7289434,21.818551,-9999,-9999,-9999,9.09724,-6.5739,28.384561,0.23571048,0.26729728,1192.0366,0.0028003425,282315.64
2012-01-11,11,1.5347996,-9999,4.1831194,2.7664976,-9999,0,-9999,321.66042,227.97536,161.97446,43.564649,-9999,-9999,-9999,-9999,-9999,11.64545,-5.87347,24.724757,-9999,0.26895998,1569.8118,-9999,-9999
2012-01-12,12,-1.5114554,-9999,3.7234442,2.0332875,-9999,0,-9999,307.02235,220.94372,138.52032,37.399298,-9999,-9999,-9999,-9999,-9999,3.81656,-6.02978,15.042395,-9999,0.26999142,1823.0574,-9999,-9999
2012-01-13,13,-1.4922467,-9999,4.0372121,2.0122588,0.19576608,0,84.816237,300.9058,202.76403,170.06678,46.979527,3.3712944,28.267378,-9999,-9999,-9999,6.16897,-8.47553,24.945481,0.10655613,0.27624164,2111.3634,0.001442518,276622.34
2012-01-14,14,-0.041845417,-9999,4.6587981,1.7061711,0.13689406,0,84.982249,310.56949,214.90673,174.37182,44.830144,3.3076411,21.166584,-9999,-9999,-9999,8.42168,-7.61345,33.87892,0.13514794,0.25709512,2302.0537,0.0014388808,278070.9
2012-01-15,15,4.5439629,-9999,5.9329965,2.2952109,0.19291092,0,84.433805,337.95743,284.39198,134.00964,31.288545,3.7486272,16.788433,-9999,-9999,-9999,13.36615,-4.61738,49.155645,0.18252988,0.2334798,2024.2703,0.0024264803,285148.63
2012-01-16,16,7.9963098,-9999,5.105515,4.7242232,0.42473117,0.10998,83.957929,348.73859,289.61343,-9999,36.456199,8.2112868,29.118119,-9999,-9999,-9999,13.16017,1.59185,37.588094,0.21996832,-9999,1145.2233,0.0044645507,293713.42
2012-01-17,17,2.9054844,-9999,4.144447,2.2194387,0.18376149,0,84.596497,324.60906,233.09744,166.52572,45.361005,4.1988233,27.977978,-9999,-9999,-9999,9.66927,-4.53302,29.653086,0.13049225,0.27239639,1348.8667,0.0028824187,284641.81
2012-01-18,18,4.7098475,-9999,6.2717764,2.1782672,0.19350698,0,84.588671,332.82146,240.65631,161.98567,43.624941,5.5991096,19.737358,-9999,-9999,-9999,14.43489,-6.37243,26.195587,0.22099014,0.26931358,2200.9578,0.0027440732,286109.33
2012-01-19,19,8.4913192,-9999,7.9929034,2.1609001,0.17783518,0,84.183411,351.9913,259.05484,168.93028,44.870834,4.3536821,15.296991,-9999,-9999,-9999,16.99849,0.69626,31.122982,0.22155384,0.26561747,2191.1013,0.0028874354,290268.11
2012-01-20,20,8.9315433,-9999,8.9953222,4.0990543,0.30990997,0,84.048791,343.12146,248.18767,152.31789,43.771294,5.2476304,16.810135,-9999,-9999,-9999,15.31517,1.43836,13.612804,0.23790399,0.28736805,2629.2028,0.0022687383,289163.8
2012-01-21,21,7.1550544,-9999,7.6265745,4.0052786,0.30883194,0,83.757485,346.5455,271.86094,134.01656,36.323613,4.6829412,10.998351,-9999,-9999,-9999,16.47858,-4.02786,23.00839,0.29863236,0.27103825,2363.3606,0.0028533096,288839.85
2012-01-22,22,4.3558725,-9999,5.3863133,6.4495299,0.48263,0,83.918755,337.42637,241.25773,177.25665,49.459352,4.7066219,30.281834,-9999,-9999,-9999,9.99845,-1.82159,31.628668,0.13451928,0.27902678,1748.8341,0.0023685937,284814.89
2012-01-23,23,2.6096375,-9999,5.3041991,1.8768563,0.16956049,0,84.092371,332.66036,242.97768,168.37184,44.316611,4.6691978,31.134993,-9999,-9999,-9999,11.45016,-8.23351,34.37254,0.13040925,0.2632068,2085.5509,0.0021844524,282599.57
2012-01-24,24,2.7122667,-9999,1.7762397,2.0576718,-9999,8.13878,83.935515,323.94016,299.28415,79.835232,34.178011,-9999,-9999,-9999,-9999,-9999,5.71797,-0.48499,21.001216,-9999,0.42810687,474.07833,0.0042619382,287896.42
2012-01-25,25,2.6201202,-9999,2.4750316,2.268666,0.20749532,0.10998,84.590399,329.24595,266.59494,168.90891,41.143381,26.827028,14.650757,-9999,-9999,-9999,7.86701,-0.79344,65.114521,0.64678063,0.24358325,702.86241,0.0038120314,286679.05
2012-01-26,26,4.2980794,-9999,4.6156992,2.0521261,0.17204297,0,84.473394,334.11583,243.85312,175.4589,45.278928,18.960094,12.515583,-9999,-9999,-9999,11.73441,-2.26584,39.91726,0.60237287,0.25806002,1383.106,0.0031838668,286794.99
2012-01-27,27,6.3046629,-9999,6.1659991,3.5444564,0.25143705,0,84.29098,339.54086,248.07511,172.59727,45.775356,19.219574,11.994483,-9999,-9999,-9999,12.41531,1.13881,35.356167,0.61573457,0.26521483,1774.9588,0.002878055,288047.07
2012-01-28,28,1.817244,-9999,3.5766205,2.6845987,0.2159127,0,85.107047,326.97601,225.74323,179.19569,47.727116,8.6427015,21.506901,-9999,-9999,-9999,7.40847,-4.12008,30.235789,0.28666055,0.26634076,1209.6335,0.0027013601,283095.48
2012-01-29,29,1.4017333,-9999,5.0067103,2.1628743,0.15971635,0,85.036794,321.21525,219.40083,185.92569,51.113227,7.7718665,25.798655,-9999,-9999,-9999,10.25349,-7.63481,32.998041,0.23150866,0.27491212,2182.1559,0.0019325083,280755.76
2012-01-30,30,3.9886679,-9999,6.1771786,2.6204865,0.18461336,0,84.345469,336.24709,233.67185,187.13537,49.89223,9.541376,22.406354,-9999,-9999,-9999,13.90842,-6.14584,34.667903,0.29865583,0.26661036,2348.1062,0.00235465,284410.99
2012-01-31,31,5.7818375,-9999,6.3214411,2.2701835,0.15862079,0,84.339746,334.05917,271.65982,91.653059,24.355593,6.5505321,9.8423342,-9999,-9999,-9999,12.16395,0.11661,4.898115,0.39959651,0.26573683,1962.2451,0.0025220104,286631.52
2012-02-01,32,3.9970015,-9999,5.5431007,1.8051455,0.16120577,0,84.608288,339.73418,244.59825,178.93377,47.535243,8.3450775,32.766317,-9999,-9999,-9999,11.61463,-5.20319,36.262599,0.20298697,0.26565831,1911.6575,0.0026076239,285051.8
2012-02-02,33,5.9014692,-9999,6.3113208,3.6722748,0.28683587,0,83.75377,344.23389,265.29482,149.26336,40.650025,7.3435582,24.852729,-9999,-9999,-9999,10.50962,0.08541,29.674256,0.22808711,0.27233761,1930.2314,0.0024311501,286524.6
2012-02-03,34,1.7535763,-9999,3.1299301,2.3686076,0.19238671,0,84.18396,333.22337,236.4163,182.33051,47.850617,7.0693906,28.475589,-9999,-9999,-9999,7.13987,-4.50954,37.672815,0.19888577,0.2624389,1014.1824,0.0031459616,284143
2012-02-04,35,2.9694485,-9999,4.7147388,8.0392871,0.57145862,0,84.695472,336.17049,241.19431,194.17201,53.805688,8.5953708,44.500378,-9999,-9999,-9999,7.81394,-0.60814,45.390141,0.16188435,0.27710322,1632.4815,0.0022830791,283207.74
2012-02-05,36,2.2957373,-9999,3.8827813,5.1408876,0.41837909,0,84.738759,336.92333,247.00916,172.81998,46.850908,6.0392527,30.392353,-9999,-9999,-9999,7.37052,-2.15089,36.054895,0.1657696,0.2710966,1300.2466,0.0026269101,283390.24
2012-02-06,37,3.552935,-9999,4.4016269,3.7301273,0.29867609,0,84.286896,340.25542,251.84666,191.05412,52.437943,6.3321376,48.581611,-9999,-9999,-9999,9.69073,-3.96563,50.207414,0.11531061,0.27446643,1384.9253,0.0028629649,285243.86
