time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,4.9308542,8.7506667,0.039916667,1.2281522,0.12215217,0.153,102.45296,-9999,-9999,66.206917,-9999,-9999,-9999,-5.8412917,36.810708,42.778917,11.882,0.873,15.677125,-9999,-9999,8.2628201,0.005101196,292224.25
2012-01-02,2,8.3523542,8.725875,0.12035417,1.9591458,0.16833333,0.102,102.61154,-9999,-9999,60.881208,-9999,-9999,-9999,-2.1151667,36.781667,42.762792,15.009,1.325,7.8007083,-9999,-9999,20.293518,0.0061542081,298295.39
2012-01-03,3,9.5777292,9.4779792,0.2490625,1.6044375,0.14635417,0.051,102.86546,-9999,-9999,110.65756,-9999,-9999,-9999,-1.9386458,36.845146,42.957667,16.948,2.944,32.103583,-9999,-9999,39.212128,0.0061191211,299439.17
2012-01-04,4,8.0344167,8.941625,0.313,0.81625,0.090416667,0.102,102.90638,-9999,-9999,111.39146,-9999,-9999,-9999,-5.1244792,36.845604,42.7955,18.596,0.335,32.124979,-9999,-9999,54.232957,0.005313841,295874.94
2012-01-05,5,9.2921042,8.8590833,0.35891667,1.3426458,0.13695833,0,102.56998,-9999,-9999,120.83517,-9999,-9999,-9999,-5.0730208,36.850313,42.802437,19.193,0.426,29.136437,-9999,-9999,57.727813,0.0056239566,297914.21
2012-01-06,6,9.0746042,8.8886667,0.232875,2.5214375,0.1795625,0,102.25071,-9999,-9999,126.70304,-9999,-9999,-9999,-4.1366042,36.846562,42.831229,16.025,3.884,22.081083,-9999,-9999,37.76435,0.0059280931,298455.96
2012-01-07,7,12.335,8.8404792,0.91439583,6.1873333,0.38714583,0,102.305,-9999,-9999,132.263,-9999,-9999,-9999,-2.2575833,36.833917,42.818479,18.939,3.706,14.77775,-9999,-9999,124.90752,0.0042709662,297589.84
2012-01-08,8,9.4132292,8.946875,0.64170833,1.0985833,0.14825,0,102.50373,-9999,-9999,121.78996,-9999,-9999,-9999,-7.0655208,36.852979,42.871021,16.684,2.357,22.517375,-9999,-9999,103.58928,0.0038763509,293666.92
2012-01-09,9,5.4650208,8.1034167,0.2785,0.73610417,0.0960625,0,102.49883,-9999,-9999,121.59812,-9999,-9999,-9999,-7.7895417,36.787292,42.627833,16.638,-2.308,32.338896,-9999,-9999,56.448813,0.0043963441,290998.96
2012-01-10,10,6.2867708,7.8626875,0.37579167,0.73889583,0.0849375,0,102.25398,-9999,-9999,120.58387,-9999,-9999,-9999,-6.6777917,36.661854,42.508479,17.224,-1.271,31.103062,-9999,-9999,72.714922,0.0042132013,291366.96
2012-01-11,11,6.9485,7.6316667,0.44354167,0.77666667,0.087375,0.051,102.054,-9999,-9999,131.04879,-9999,-9999,-9999,-7.0544792,36.604667,42.452396,18.827,-1.379,35.564021,-9999,-9999,82.630637,0.0044874987,292717.74
2012-01-12,12,6.7432083,7.3529167,0.5088125,0.86414583,0.10510417,0.051,102.1064,-9999,-9999,130.54356,-9999,-9999,-9999,-7.3278542,36.567083,42.392417,18.489,-1.714,36.527479,-9999,-9999,96.299773,0.0040562884,291433.4
2012-01-13,13,5.8368333,7.1591042,0.38964583,0.87660417,0.091875,0,102.44998,-9999,-9999,130.90671,-9999,-9999,-9999,-7.0817292,36.505375,42.339208,17.011,-1.484,35.134104,-9999,-9999,77.593724,0.0040906481,290608.39
