time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.85,65.641,272.657,0.254,102.21,0.3,0.95,0.1088125,1.1323333,-9999,-9999,8.473,-9999,-9999,-6.12665,6.74943,3.40157,9.0755,0.398,0.66490297,-9999,56.904855,0.0047560868,290275.22
2012-01-02,2,6.797,57.577,295.026,1.006,102.327,0.2,1.685,0.16210417,2.5406667,-9999,-9999,7.807,-9999,-9999,-4.1809,9.05508,-0.675729,13.357,-0.0535,1.0806422,-9999,194.32207,0.0054093301,294870.06
2012-01-03,3,7.987,109.504,299.343,2.029,102.568,0.1,1.263,0.1003125,17.713708,-9999,-9999,9.012,-9999,-9999,1.24758,16.1921,2.51902,16.061,3.1755,0.8653731,-9999,381.14204,0.0052829845,295750.15
2012-01-04,4,7.477,111.42,285.106,2.66,102.628,0.1,0.924,0.0879375,19.372167,-9999,-9999,9.017,-9999,-9999,-1.57725,13.5251,2.57173,16.9255,0.0125,0.84023376,-9999,534.55282,0.0046719462,293710
2012-01-05,5,8.885,116.805,281.683,3.653,102.28,0,1.164,0.11370833,11.945417,-9999,-9999,9.414,-9999,-9999,-0.996229,22.3472,1.99804,18.9725,-0.02,0.91792893,-9999,700.12985,0.0047156737,295234.36
2012-01-06,6,8.48,123.504,280.702,2.673,101.96,0,1.768,0.14085417,10.998604,-9999,-9999,9.473,-9999,-9999,-2.1381,21.7057,0.200261,16.031,1.0115,0.99085815,-9999,501.28525,0.0051430971,295895.89
2012-01-07,7,11.272,126.37,262.558,7.451,102.006,0.3,6.374,0.34141667,11.578625,-9999,-9999,9.223,-9999,-9999,-2.70306,72.1049,-38.1581,17.581,4.357,1.2,-9999,1467.9603,0.0036091544,294867
2012-01-08,8,8.081,114.952,262.024,4.584,102.257,0,1.372,0.1600625,12.691292,-9999,-9999,8.154,-9999,-9999,-5.48175,18.5923,-1.68458,16.229,1.4945,1.0996338,-9999,986.18235,0.003778405,292083.17
2012-01-09,9,5.57,116.19,261.894,2.479,102.274,0.1,0.707,0.10441667,13.516083,-9999,-9999,8.349,-9999,-9999,-3.99229,14.1331,0.61866,15.982,-1.372,0.95806195,-9999,564.6739,0.0040206743,290165.29
2012-01-10,10,6.821,116.7,263.321,3.326,102.011,0,1.172,0.090125,12.490271,-9999,-9999,8.394,-9999,-9999,-2.2725,16.7327,0.818594,16.798,0.478,0.95335991,-9999,728.65386,0.0040134128,291404.39
2012-01-11,11,6.441,125.856,259.084,3.352,101.822,0.1,0.816,0.11610417,14.827792,-9999,-9999,8.521,-9999,-9999,-2.00183,21.1669,0.730384,16.787,-0.788,0.966645,-9999,756.96533,0.0038483057,290609.72
2012-01-12,12,6.396,127.785,258.883,4.027,101.867,0.1,1.203,0.096875,14.746438,-9999,-9999,8.553,-9999,-9999,-2.22773,25.1544,-4.85222,17.5105,-0.29,1.2,-9999,955.50327,0.0034143327,289479.56
2012-01-13,13,5.92,120.112,264.275,3.394,102.21,0.1,0.984,0.094458333,14.070042,-9999,-9999,8.405,-9999,-9999,-3.69537,18.2679,-2.5875,16.4655,-0.745,1.1650149,-9999,799.92129,0.0035999139,289465.13
2012-01-14,14,6.052,121.687,261.609,3.559,102.04,0.1,0.794,0.11120833,15.893458,-9999,-9999,8.439,-9999,-9999,-3.3691,21.4275,-0.537177,16.2615,-1.254,1.0257142,-9999,839.75283,0.0035570796,289490.71
