time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-0.014,10.537,302.499,0.608,97.259,2.3,5.455,0.6182,-2.90175,3.6957083,311.954,0.59,9.019,-9999,-9999,1.48217,-25.7351,1.108,-2.69,0,0.74033696,179.59386,0.0035235299,283310.5
2012-01-02,2,-6.775,42.7,242.543,1.02,98.442,0,6.803,1.04375,-7.5144583,9.4232083,283.02896,0.688,9.031,-9999,-9999,-1.03009,-9.81179,-3.001,-11.338,0.095010275,0.81921281,518.18402,0.0016862273,271922.44
2012-01-03,3,-11.12,82.357,223.293,0.842,99.268,0,3.521,0.49120833,26.506875,12.969833,265.733,0.567,9.022,-9999,-9999,1.58208,13.3734,-7.276,-15.461,0.10578597,0.86394352,594.64842,0.0011173318,266133.48
2012-01-04,4,-2.898,24.036,285.047,1.164,98.165,0,3.928,0.53770833,4.499625,4.4732917,299.99029,0.486,8.951,-9999,-9999,0.678208,-10.4251,-0.723,-6.513,0,0.84309355,445.17999,0.0023962396,277593.86
2012-01-05,5,-0.236,37.031,274.232,1.319,97.876,0,3.235,0.351375,-6.0109167,6.5475417,310.08387,0.58,8.933,-9999,-9999,1.78613,-13.4184,2.993,-1.981,0,0.84975308,420.24735,0.0029853318,281741.9
2012-01-06,6,5.183,55.545,262.963,2.623,97.14,0,4.393,0.620375,-21.499333,9.4367917,329.26592,0.676,8.874,-9999,-9999,1.01521,-28.5345,7.007,2.849,0,0.85477791,620.36684,0.0039861679,289690.08
2012-01-07,7,-1.087,28.3,279.629,1.453,98.274,0,4.566,0.62945833,-4.7919167,4.77375,307.32029,0.755,8.867,-9999,-9999,3.14354,10.7507,2.895,-3.541,0.22624771,0.85566348,499.53081,0.0026584001,280069.32
2012-01-08,8,-2.34,29.609,265.602,1.261,99.357,0.1,3.074,0.35754167,-12.166667,5.668125,300.78929,0.667,8.8,-9999,-9999,0.716958,-1.65175,0.851,-5.184,0,0.83932577,467.26706,0.0024375848,278258.01
2012-01-09,9,1.354,35.056,277.828,1.408,98.212,0.6,5.578,0.79266667,-8.7479583,5.699625,315.24808,0.572,8.742,-9999,-9999,-0.651065,-38.9552,4.017,-1.955,0.016438435,0.86015121,402.82409,0.0033834247,284335.08
2012-01-10,10,2.415,55.204,281.72,2.35,98.274,0,3.407,0.38583333,6.4724167,8.246125,321.49658,0.735,8.802,-9999,-9999,2.43025,-1.08587,4.599,0.73,1.2,0.87003769,670.97942,0.0031200089,284742.85
2012-01-11,11,3.576,72.472,266.519,2.095,97.541,0,2.861,0.18458333,4.1093333,10.734042,323.11529,0.864,8.971,-9999,-9999,1.33521,-1.24619,7.361,0.57,1.2,0.87099444,537.53077,0.0037057022,287373.89
2012-01-12,12,0.671,12.981,297.794,0.451,96.85,0,3.169,0.33279167,-5.4065417,1.7852083,313.86429,0.843,9.174,-9999,-9999,1.17696,-1.59954,3.003,-2.152,0,0.87910178,125.72022,0.0038399161,284789.9
2012-01-13,13,-9.907,46.663,247.896,0.506,97.551,0,4.999,0.71383333,12.067417,11.039125,270.89279,0.843,9.2,-9999,-9999,0.233917,13.594,-4.185,-13.887,0.016916286,0.80868772,302.1014,0.0015207208,268361.02
2012-01-14,14,-13.026,94.911,190.183,0.631,99.084,0,2.742,0.20579167,12.560042,18.617125,252.83054,0.607,9.148,-9999,-9999,3.24488,15.1092,-10.351,-16.166,0.17679339,0.8360131,498.72232,0.0010178686,263969.29
2012-01-15,15,-9.237,59.462,235.901,0.676,99.571,0,4.469,0.39604167,11.292542,11.668417,271.74492,0.429,9.056,-9999,-9999,1.6395,-8.249,-4.773,-13.943,0,0.83595743,394.82549,0.001481245,268935.68
