time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-36.274661,-8.8832812,-9999,0.033199625,-9999,0,98.696925,178.46091,177.93067,0.48916061,1.1998191,-0.30092485,-5.5191994,-10.71368,3.5612708,0,-32.748,-39.83068,-1.2408918,0.051704198,2.4528122,506.50836,0.00011549836,238348.46
2012-01-02,2,-34.238921,-9.2272083,-9999,0.072037544,-9999,0,97.937197,185.07979,185.36311,0.30971129,1.5153599,-0.34231598,-5.4180724,-9.2804209,3.5178542,0,-31.4736,-37.8441,-0.92233273,0.059425851,4.8928146,474.62359,0.00014739742,240474.13
2012-01-03,3,-38.55149,-9.8296229,-9999,0.0094712924,-9999,0,98.54777,170.1097,169.97723,0.35881032,1.3278755,-0.362686,-5.8899015,-11.774943,3.4584167,0,-35.242,-39.83347,-1.1015344,0.058005746,3.7007729,546.24922,8.7951248e-05,235991.38
2012-01-04,4,-33.462245,-10.364396,-9999,0.040186063,-9999,0,97.91021,188.72546,187.94026,0.39915203,0.61448977,-0.30761475,-5.5908286,-8.5010588,3.4235,0,-31.0163,-39.48264,-1.0005413,0.052151853,1.539488,470.74513,0.00016003978,241286.29
2012-01-05,5,-29.201056,-10.333,-9999,0.12773716,-9999,0,97.997878,201.42562,201.75865,0.20377801,1.3225268,-0.16257535,-5.579312,-7.0096597,3.420125,0,-20.738,-37.2801,-0.78572046,0.028313923,6.4900369,402.77723,0.00025709684,245811.43
2012-01-06,6,-30.021592,-10.204146,-9999,0.01417206,-9999,0,98.389798,197.97745,190.13604,0.82380628,1.2301491,-0.3540341,-2.8634914,-7.8995944,3.4319375,0,-24.917999,-39.8123,-8.247745,0.11003304,1.4932504,409.81834,0.00023519268,244932.03
2012-01-07,7,-30.236592,-10.363687,-9999,0.12055438,-9999,0,97.380213,198.68993,197.31729,2.0145493,1.1518525,-0.042565604,-1.3457051,-7.4805272,3.3948542,0,-25.999001,-39.81259,-0.50994359,0.030660881,0.57176688,415.20474,0.00023172553,244707.29
2012-01-08,8,-28.841725,-10.249271,-9999,0.037902478,-9999,0,97.935587,202.37168,203.0285,0.50875732,0.84259606,-0.20420867,-4.4094548,-6.8565731,3.4026458,0,-26.245,-38.0017,0.32298212,0.044261717,1.6561846,401.43215,0.00026660735,246196.33
2012-01-09,9,-36.132756,-10.4885,-9999,0.069811177,-9999,0,99.79644,177.98215,170.31708,2.3065819,2.177021,-0.34611121,-15.085901,-11.082363,3.3631875,0,-32.3673,-38.9588,-7.5355057,0.022428133,0.94382991,493.43221,0.00011719514,238495.32
2012-01-10,10,-21.284069,-10.964708,-9999,0.036199421,-9999,0,98.238765,229.99001,228.37524,1.5753584,0.80329965,1.5804891,-11.508606,-5.2729297,3.3518542,0,-11.782999,-32.2891,-0.84270493,0,0.5099155,286.15734,0.00058261607,254581.8
