time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-0.18204312,-9999,4.0606042,0.73995217,0.26450958,0,75.522783,308.83187,225.99416,155.16367,24.873411,-9999,-9999,-9999,-9999,-9999,8.385,-5.9826,47.452551,-9999,0.16030434,1809.2419,0.0020134122,279366.33
2012-01-02,2,0.23584125,-9999,3.3598513,0.86376727,0.20596491,0,75.666038,311.17341,229.09081,155.90455,22.40091,-9999,-9999,-9999,-9999,-9999,6.6986,-3.9481,51.421044,-9999,0.14368348,1285.0941,0.0026923392,281483.62
2012-01-03,3,2.7744075,-9999,4.9078019,1.0306457,0.35256794,0,75.209917,321.20899,236.9786,149.88651,22.05028,-9999,-9999,-9999,-9999,-9999,10.51,-3.4569,43.605842,-9999,0.14711317,1781.3552,0.0027014768,284057.72
2012-01-04,4,0.33272021,-9999,3.5144563,0.99704957,0.26242192,0,75.455378,312.34984,220.06621,158.03537,23.444809,-9999,-9999,-9999,-9999,-9999,6.2596,-3.8058,42.30692,-9999,0.14835166,1359.7114,0.0025363924,281191.11
2012-01-05,5,2.2788483,-9999,4.6514519,1.0308324,0.27531477,0,74.916365,318.15338,231.59675,157.02794,-9999,-9999,-9999,-9999,-9999,-9999,9.5264,-3.1196,-9999,-9999,-9999,1720.5156,0.0025083591,283076.89
2012-01-06,6,1.0512927,-9999,3.912094,0.84042675,0.26444784,0,74.393708,315.02489,226.13847,156.86355,23.14952,-9999,-9999,-9999,-9999,-9999,9.2123,-3.8651,44.827608,-9999,0.14757743,1486.9117,0.0026760062,282262.31
2012-01-07,7,-1.2897635,-9999,2.3654323,1.0315796,0.26539132,0,74.186359,308.08517,240.7789,130.20733,18.016536,-9999,-9999,-9999,-9999,-9999,4.1908,-5.5356,44.884532,-9999,0.13836806,915.22127,0.0028991209,280467.34
2012-01-08,8,-3.5834144,-9999,0.84479958,0.78695988,-9999,0,74.292762,298.8499,287.76499,72.699726,10.556457,-9999,-9999,-9999,-9999,-9999,0,-8.332,51.058353,-9999,0.14520628,328.15433,0.0032511204,279042.22
2012-01-09,9,-4.7312479,-9999,1.2056496,1.1179562,-9999,1.29794,74.738452,291.88203,254.99266,153.55533,23.286353,-9999,-9999,-9999,-9999,-9999,5e-05,-9.99,93.3796,-9999,0.15164797,534.26411,0.0027018954,276515.58
2012-01-10,10,0.23388625,-9999,3.1947019,1.2516455,0.31504496,0,74.452354,311.17958,219.55731,163.65004,22.937677,-9999,-9999,-9999,-9999,-9999,7.4516,-5.8209,49.090102,-9999,0.14016298,1196.0792,0.0029032032,282008.81
2012-01-11,11,-2.9772071,-9999,2.7132746,1.6547733,0.52703556,0,74.142749,299.11299,199.669,175.99654,24.665154,-9999,-9999,-9999,-9999,-9999,0.55795,-10.388,51.887401,-9999,0.14014567,1293.1303,0.0019822669,276479.32
2012-01-12,12,-5.7406937,-9999,2.7313254,1.5495694,0.45487529,0,74.387106,288.93352,197.47348,151.82638,21.102337,-9999,-9999,-9999,-9999,-9999,-1.9407,-10.683,39.264011,-9999,0.13898992,1781.7664,0.0011540255,271631.42
2012-01-13,13,-3.959426,-9999,3.4859367,1.5815384,0.47813943,0,74.727483,294.45873,194.04663,177.42568,24.650563,-9999,-9999,-9999,-9999,-9999,2.5456,-10.551,52.363022,-9999,0.13893458,2226.7166,0.0011676833,273455.74
2012-01-14,14,-1.8251294,-9999,3.5771415,0.98074781,0.30121066,0,74.94921,302.24945,203.1446,174.24878,25.62774,-9999,-9999,-9999,-9999,-9999,6.0285,-7.9423,49.516195,-9999,0.14707558,1765.5423,0.0018468946,277298.73
2012-01-15,15,-0.75600646,-9999,2.7929975,1.1776498,0.39924312,0,74.49353,309.22477,253.37167,142.16778,17.500298,-9999,-9999,-9999,-9999,-9999,3.6839,-5.9402,68.814385,-9999,0.12309609,1088.2714,0.0026639724,280415.89
2012-01-16,16,-1.4682431,-9999,0.76203021,1.9849527,-9999,0.77877,74.001149,308.75517,307.63293,34.475481,7.4492432,-9999,-9999,-9999,-9999,-9999,5.0002e-05,-4.6024,25.904,-9999,0.21607366,252.15428,0.0039730173,282972.71
2012-01-17,17,-4.9114062,-9999,0.94294813,1.5215672,-9999,0,74.583105,292.68737,255.40787,97.491835,20.669006,-9999,-9999,-9999,-9999,-9999,-2.1722,-9.6331,39.543327,-9999,0.21200756,409.36114,0.0027917715,276559.22
