time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-5.339,5.443,286.48,0.448,94.497,0,5.505,-9999,-9999,-9999,-9999,1.007,33.725,-9999,-1.96703,-7.74026,-36.1275,-2.067,-10.8045,0.1764453,-9999,188.83455,0.0024158771,275189.75
2012-01-02,2,-12.701,29.009,219.126,0.592,95.902,0,4.755,-9999,-9999,-9999,-9999,0.929,33.799,-9999,-2.00175,-5.77558,-16.4328,-11.053,-17.141,0.26006309,-9999,450.72446,0.0011159384,264541.09
2012-01-03,3,-13.993,86.693,208.022,0.484,95.434,0,3.188,-9999,-9999,-9999,-9999,0.905,33.746,-9999,-2.06658,-1.64493,11.3308,-8.414,-21.1295,0,-9999,399.42255,0.0010416119,263056.81
2012-01-04,4,-6.865,46.566,245.247,0.51,94.919,0,2.935,-9999,-9999,-9999,-9999,1.125,33.694,-9999,-2.20113,-3.29365,-0.915818,-1.718,-11.4925,0.78243854,-9999,242.07608,0.0020671774,272784.37
2012-01-05,5,-1.497,71.774,260.764,0.686,94.268,7.83,3.151,-9999,-9999,-9999,-9999,2.094,33.683,-9999,-2.21826,-2.13673,1.30829,4.379,-7.0455,1.2,-9999,225.88857,0.0031687098,280933.04
2012-01-06,6,2.709,86.263,253.598,1.027,94.001,0,4.188,-9999,-9999,-9999,-9999,3.761,33.636,-9999,-2.17966,-3.54946,2.59659,5.339,0.7975,1.2,-9999,260.00421,0.0042435647,287847.21
2012-01-07,7,-3.863,54.596,269.135,0.803,95.139,0,3.522,-9999,-9999,-9999,-9999,1.328,33.618,-9999,-2.35233,-5.47843,-3.30433,-0.6945,-5.283,0.62377089,-9999,316.90074,0.0024842049,276843.95
2012-01-08,8,-3.63,62.23,236.99,1.431,95.676,0,2.786,-9999,-9999,-9999,-9999,1.252,33.727,-9999,-2.33573,-4.35583,-8.58491,0.355,-6.8985,0.33659822,-9999,598.19576,0.0021135595,276151.5
2012-01-09,9,0.923,92.597,252.971,1.697,94.727,0,4.295,-9999,-9999,-9999,-9999,2.923,33.647,-9999,-2.09414,-2.71648,4.27564,4.722,-2.133,0,-9999,513.20456,0.003182063,283398.52
2012-01-10,10,1.245,93.204,257.341,1.25,94.584,0,3.013,-9999,-9999,-9999,-9999,3.77,33.612,-9999,-2.15868,-0.961539,13.4158,7.479,-4.7315,0,-9999,355.93605,0.0035831352,284724.81
2012-01-11,11,-0.833,45.01,301.888,1.246,94.059,0.54,2.513,-9999,-9999,-9999,-9999,2.433,33.707,-9999,-2.44569,-3.0185,-1.53987,3.4225,-7.6305,0.66218846,-9999,411.97148,0.0029853593,281141.98
2012-01-12,12,-9.854,31.735,270.534,1.566,94.215,0,4.474,-9999,-9999,-9999,-9999,1.051,33.751,-9999,-2.61272,-5.07164,-5.79564,-8.264,-10.5335,0.466689,-9999,1181.175,0.00088176708,266816.9
2012-01-13,13,-11.59,38.286,254.6,1.23,94.734,0,2.688,-9999,-9999,-9999,-9999,0.969,33.846,-9999,-2.31768,-5.25845,-3.14814,-10.2855,-13.102,0.62551522,-9999,1005.7806,0.00085225206,264998.43
2012-01-14,14,-12.912,30.214,240.098,0.798,95.279,0,1.806,-9999,-9999,-9999,-9999,0.936,33.859,-9999,-2.17955,-8.35692,-6.32936,-11.612,-14.4325,0.56902905,-9999,653.10505,0.00096303398,263946.77
2012-01-15,15,-6.603,63.649,261.553,0.715,95.17,0.27,3.74,-9999,-9999,-9999,-9999,1.134,33.587,-9999,-2.06297,-4.6938,4.30041,-2.936,-11.7115,1.2,-9999,342.44134,0.0019761254,272820.05
2012-01-16,16,-4.197,23.098,290.261,0.613,94.546,0,2.579,-9999,-9999,-9999,-9999,1.209,33.862,-9999,-2.10279,-6.05872,-16.0527,-2.9775,-6.387,0.27400863,-9999,242.62548,0.0025501141,276673.05
2012-01-17,17,-11.686,39.358,256.604,0.874,95.165,0,3.766,-9999,-9999,-9999,-9999,0.956,33.812,-9999,-2.40461,-3.59567,-10.5139,-6.442,-18.0945,0.25483909,-9999,653.80041,0.0010686856,265443.03
2012-01-18,18,-14.887,85.856,200.009,0.931,94.775,0,3.822,-9999,-9999,-9999,-9999,0.812,33.708,-9999,-2.63333,-1.41776,9.56615,-8.7825,-22.4075,0,-9999,963.32352,0.0006585423,261200.67
2012-01-19,19,-23.09,91.671,147.175,0.74,94.874,0,3.924,-9999,-9999,-9999,-9999,0.821,33.715,-9999,-2.4453,-0.4901,19.1716,-18.97,-26.254,0,-9999,1933.526,0.00014423283,251670.88
2012-01-20,20,-20.564,45.754,185.806,0.919,95.415,0,2.065,-9999,-9999,-9999,-9999,0.663,33.729,-9999,-2.8917,-2.46453,7.77641,-15.46,-26.1005,0,-9999,1957.6059,0.00018165456,254303.07
2012-01-21,21,-14.498,72.178,216.819,0.979,95.451,0,2.967,-9999,-9999,-9999,-9999,0.884,33.687,-9999,-2.77855,-1.45809,17.3278,-8.8145,-21.808,0,-9999,991.12464,0.00066354829,261604.13
2012-01-22,22,-6.716,16.121,287.826,1.026,94.378,0,3.952,-9999,-9999,-9999,-9999,1.133,33.687,-9999,-2.86375,-2.42621,-7.01584,-5.203,-9.15,0.25695797,-9999,519.24462,0.001766003,272181.18
2012-01-23,23,-5.682,10.236,290.865,0.856,93.668,0,3.022,-9999,-9999,-9999,-9999,1.162,33.593,-9999,-2.13007,-1.67457,-26.925,-4.5005,-7.363,0.058552279,-9999,389.68265,0.0020951729,274043.27
2012-01-24,24,-7.335,76.501,256.27,0.938,95.379,0.54,2.89,-9999,-9999,-9999,-9999,1.016,33.587,-9999,-2.6354,-0.710453,3.48498,-3.975,-9.6785,0,-9999,492.04398,0.0016924123,271375.11
2012-01-25,25,-4.813,40.578,276.226,1.03,95.539,0.54,2.878,-9999,-9999,-9999,-9999,1.203,33.599,-9999,-2.26457,-1.44399,-7.87597,-1.1835,-9.598,0.15493521,-9999,448.80257,0.0021185991,274975.18
2012-01-26,26,-2.064,38.89,298.081,0.832,94.229,0.54,3.834,-9999,-9999,-9999,-9999,1.277,33.543,-9999,-1.87789,-0.590134,3.8353,-0.916,-3.0425,0,-9999,289.08922,0.0029248406,279753.53
2012-01-27,27,-4.129,83.391,246.589,1.072,94.313,0.54,3.168,-9999,-9999,-9999,-9999,1.202,33.521,-9999,-1.81804,0.996987,21.8396,0.5055,-8.7175,0.043657443,-9999,445.49532,0.0022680076,276036.12
2012-01-28,28,-8.464,16.919,247.813,0.814,94.534,0,4.169,-9999,-9999,-9999,-9999,1.092,33.508,-9999,-1.38831,-1.30332,-4.21312,-6.7875,-10.622,0.23626107,-9999,457.97337,0.0015942658,269995.09
2012-01-29,29,-11.296,91.361,211.481,0.925,95.21,0,3.154,-9999,-9999,-9999,-9999,1.135,33.528,-9999,-1.6216,0.334568,17.6589,-8.7925,-14.716,0.018593859,-9999,676.81197,0.0010867683,265880.19
2012-01-30,30,-7.45,62.792,262.527,1.009,94.638,0,2.95,-9999,-9999,-9999,-9999,1.116,33.521,-9999,-1.39734,-0.0335821,9.84187,-1.6485,-14.551,0,-9999,540.54552,0.0016383721,271124.43
2012-01-31,31,0.357,80.318,284.341,0.947,94.151,4.59,3.256,-9999,-9999,-9999,-9999,2.576,33.525,-9999,-1.26846,0.107031,18.9168,5.9585,-3.8295,0.0056261538,-9999,280.17176,0.0035255628,283688.44
2012-02-01,32,-1.472,54.834,285.023,0.874,95.348,0,2.374,-9999,-9999,-9999,-9999,1.854,33.512,-9999,-1.30742,-0.146028,10.8061,1.947,-3.943,0,-9999,292.28419,0.0030162445,280577
2012-02-02,33,-1.977,22.654,305.074,0.362,96.135,0,1.549,0.37345833,14.549229,7.848475,-9999,1.489,33.494,-9999,-1.26875,-1.58024,4.47363,-0.6975,-3.4415,0,0.74269383,119.67744,0.0031939424,280513.72
2012-02-03,34,-0.02,96.761,264.212,1.211,96.78,0,1.142,0.1935,14.668563,20.839437,-9999,1.509,33.504,-9999,-1.24558,1.91343,24.4976,3.287,-1.9725,0.07244814,0.82279456,376.21216,0.0031501689,282371.07
2012-02-04,35,0.535,126.689,241.823,2.136,96.32,0,2.681,0.45629167,-1.0075417,25.592021,-9999,1.528,33.526,-9999,-1.09681,4.26764,11.2391,5.969,-2.9,0.27521194,0.83194215,692.85311,0.002727969,281873.35
2012-02-05,36,-2.725,120.143,249.599,0.587,96.058,0,2.584,0.56233333,37.983854,28.319732,-9999,1.544,33.536,-9999,-0.962917,1.56761,35.6023,1.4735,-5.0975,0.042174167,0.80924686,208.68621,0.0028652108,278940.15
2012-02-06,37,-3.091,56.873,276.716,0.396,95.618,0,3.27,0.733375,15.353813,15.977341,-9999,1.534,33.539,-9999,-1.0194,0.190212,18.8739,0.787,-5.442,0.0099774907,0.78068269,141.73848,0.0029154288,278697.87
2012-02-07,38,-8.273,106.187,220.207,0.83,96.674,0,2.776,0.53872917,22.633604,23.818378,-9999,1.537,33.542,-9999,-0.464729,-0.266513,34.2573,-5.561,-10.861,0,0.81678929,461.12946,0.0015798535,270151.02
2012-02-08,39,-8.557,142.199,192.55,2.298,96.102,0,3.369,0.8182,52.575576,38.950515,-9999,1.297,33.542,-9999,-1.79456,2.45636,21.9619,-1.506,-15.295,0.10059521,0.7849814,1886.7568,0.00059134441,267394.33
2012-02-09,40,-5.48,137.652,218.864,1.53,95.223,0,3.847,0.8235,36.310478,28.319804,-9999,1.075,33.527,-9999,-2.20908,1.25062,20.2021,-1.0125,-9.4715,0.05829657,0.82936979,756.47627,0.0016602516,273158.98
2012-02-10,41,-12.665,115.423,215.905,0.358,95.714,0,4.381,0.90011905,51.881857,33.432447,-9999,1.08,33.507,-9999,-1.17532,1.33844,37.3143,-4.702,-15.9765,0.034627299,0.77540327,257.36202,0.0012747984,264974.42
2012-02-11,42,-15.51,133.506,199.784,0.707,96.256,0,4.02,0.89604348,33.263935,30.26463,-9999,0.945,33.485,-9999,-1.46202,1.95337,24.2589,-10.7355,-20.7035,0.074521207,0.81520111,715.32538,0.00073057333,260754.63
2012-02-12,43,-9.796,146.382,191.007,1.875,95.876,0,3.659,0.80254348,29.979565,31.50887,-9999,0.756,33.418,-9999,-2.28569,3.03388,15.7929,-2.3485,-16.8785,0.16114705,0.82287529,1549.3882,0.00067445879,266356.92
2012-02-13,44,-6.04,64.218,238.243,1.593,94.93,0,2.698,0.58197917,-0.28479167,15.024542,-9999,0.657,33.314,-9999,-2.18302,-0.790899,-4.1479,-2.044,-10.3935,0.16013994,0.81039803,836.04535,0.0015125356,272226.89
2012-02-14,45,-3.902,30.558,287.171,0.249,94.563,0,1.775,0.40677083,12.643396,8.6956739,-9999,0.796,33.273,-9999,-1.35813,-1.84802,6.69579,-2.3495,-5.4005,0,0.7784749,92.865848,0.002856094,277734.48
2012-02-15,46,-0.995,80.996,293.739,0.383,95.118,0.27,1.799,0.4123125,37.281375,19.217479,-9999,0.993,33.341,-9999,-0.429333,2.11077,20.2146,2.4155,-3.487,0.094545801,0.80823459,118.70589,0.0034741406,282201.13
