time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,4.434,19.307,316.049,1.757,98.733,0.508,4.299,0.5189375,-0.54352083,1.1726744,334.64515,395.322,5.007,-9999,-9999,-9999,13.9853,-8.16484,9.1165,-0.3535,1.2,0.9427396,414.39957,0.0041851668,289434.84
2012-01-02,2,-2.14,50.483,290.281,1.104,99.41,0,3.982,0.40847917,24.682042,3.4017917,312.70331,392.487,4.267,-9999,-9999,-9999,26.6209,26.7589,-0.2395,-4.6555,0.49870738,0.93686917,396.37261,0.0025829467,278822.42
2012-01-03,3,-5.829,50.338,266.365,1.38,100.326,0,3.737,0.34659574,14.600625,4.4568958,297.67392,391.977,3.302,-9999,-9999,-9999,23.3203,30.2658,-4.79,-7.3125,0.43519308,0.91866221,686.32792,0.0016026877,272664.32
2012-01-04,4,-2.376,73.211,272.899,1.587,99.554,0,2.587,0.3076087,33.542792,5.2122708,305.06998,397.238,3.558,-9999,-9999,-9999,13.6007,5.20171,1.035,-6.4885,0.72334876,0.93353668,611.73721,0.0022199153,277677.66
2012-01-05,5,1.321,90.042,284.145,1.605,99.25,0,1.695,0.2145625,50.920083,5.6905625,316.0354,398.115,4.239,-9999,-9999,-9999,7.63175,-3.12127,4.5705,-2.1385,1.2,0.94055771,467.68117,0.0032139825,283878.31
2012-01-06,6,6.515,95.469,301.879,3.15,98.604,0,2.446,0.30215789,58.980667,5.8346875,330.88602,394.306,4.738,-9999,-9999,-9999,3.4002,-24.896,10.805,3.4305,0,0.942404,698.33644,0.0041334587,291396.97
2012-01-07,7,4.636,85.901,300.203,2.551,99.195,0,1.897,0.21946667,52.570167,3.5862083,330.04721,393.762,5.07,-9999,-9999,-9999,5.19894,-12.958,7.2365,1.7925,0,0.95992491,625.20136,0.0037405062,288526.2
2012-01-08,8,0.617,95.861,276.994,1.46,100.491,0,1.331,0.12576316,46.840271,4.3098125,321.03202,394.923,5.322,-9999,-9999,-9999,7.27011,0.108838,2.44,-1.442,0.9852502,0.95697537,442.48597,0.0030578623,282780.49
2012-01-09,9,2.409,75.712,284.932,2.396,99.858,0,1.742,0.22076744,28.37975,5.9028333,326.57956,397.003,5.34,-9999,-9999,-9999,11.8838,-4.85148,5.3835,-0.396,1.2,0.9276745,687.08075,0.0030397262,284536.11
2012-01-10,10,2.849,100.439,281.5,1.797,99.449,0,1.411,0.17167647,52.493375,5.3863542,324.0595,395.539,5.162,-9999,-9999,-9999,8.70806,0.326803,7.588,0.288,0.96382867,0.94910148,475.63432,0.003573268,286312.17
2012-01-11,11,2.977,48.43,305.803,1.121,98.44,4.826,2.187,0.17924138,25.842063,3.0255417,325.36621,397.402,4.991,-9999,-9999,-9999,5.85333,-8.42053,5.473,0.754,0,0.94120086,280.44416,0.0040824763,287713.83
2012-01-12,12,2.569,13.304,323.738,0.499,97.416,1.016,2.715,0.34044444,6.2696875,0.38165,330.03613,395.107,5.12,-9999,-9999,-9999,14.4366,6.31328,5.203,-5.063,0.69574378,0.97211313,123.17483,0.0043861631,288063
2012-01-13,13,-6.523,33.355,279.433,0.51,98.475,0,4.65,0.5548125,8.7330417,7.3291875,296.72652,394.511,3.747,-9999,-9999,-9999,27.3768,43.4702,-5.652,-7.1935,0.38642144,0.81985169,236.05769,0.002054067,273095.3
2012-01-14,14,-6.435,47.022,276.465,0.621,99.879,0,2.521,0.30139583,2.0237917,29.78475,291.67804,393.597,3.257,-9999,-9999,-9999,12.8972,18.4916,-5.84,-6.984,0.41088541,0.61221182,289.87195,0.0019717284,272977.9
2012-01-15,15,-5.461,103.979,260.364,0.852,100.785,0,1.974,0.19990909,9.6992917,61.925458,292.71888,396.532,3.663,-9999,-9999,-9999,7.47766,18.401,-3.2575,-6.658,0.28895082,0.62674024,381.17064,0.0019915113,274006.22
2012-01-16,16,1.588,51.136,302.675,1.544,99.576,0,3.513,0.37608571,16.602375,21.065667,316.16265,394.374,3.825,-9999,-9999,-9999,6.51021,-13.8031,6.3045,-5.9535,0,0.7082385,439.07932,0.0033232003,284419.69
2012-01-17,17,6.511,34.085,340.073,1.273,98.399,15.748,4.19,0.46851515,35.964417,2.6791957,335.70775,392.289,3.995,-9999,-9999,-9999,0.395338,-27.6056,12.2295,-0.1265,0,0.92712487,253.85678,0.0053337284,294393.63
2012-01-18,18,-3.48,69.903,270.117,1.689,100.046,0,2.811,0.28635417,29.172917,4.867125,305.98042,392.116,3.337,-9999,-9999,-9999,19.9613,13.398,-0.927,-5.1645,0.59837287,0.93490549,721.42413,0.0018932056,275751.36
2012-01-19,19,-4.813,26.128,263.445,0.889,99.313,0,3.681,0.41197826,-14.389021,3.0988958,300.86352,394.948,2.743,-9999,-9999,-9999,18.5455,10.7186,-1.5365,-11.543,0.6337287,0.89397109,380.44919,0.0021265227,274994.99
2012-01-20,20,-9.636,72.408,249.742,0.677,100.207,0,2.036,0.17925532,25.619604,12.427104,284.10356,398.389,2.784,-9999,-9999,-9999,13.7457,24.4232,-6.3815,-13.2975,0.36012827,0.8535146,408.27348,0.0014128011,268363.57
2012-01-21,21,-5.349,102.651,272.085,0.61,100.037,0,3.373,0.25894737,36.975125,44.451292,296.42413,395.357,3.213,-9999,-9999,-9999,7.43224,7.30341,-3.5355,-6.8975,0.50437137,0.69782054,262.4002,0.002178957,274587.4
2012-01-22,22,-1.637,55.544,299.117,0.651,99.83,1.524,2.979,-9999,21.019188,24.858604,308.9824,395.451,3.345,-9999,-9999,-9999,3.94221,2.92473,5.4015,-7.4075,0.5740854,0.6908234,215.7811,0.0029786515,280317.19
2012-01-23,23,6.533,55.634,335.633,1.711,98.425,10.16,4.962,0.5599697,45.98425,10.438833,334.96404,393.382,3.454,-9999,-9999,-9999,0.999274,-25.2073,12.217,1.4225,0,0.84201021,348.59498,0.0050631003,293739.17
2012-01-24,24,0.596,21.016,309.34,1.521,99.902,0,2.726,0.33036957,10.856146,1.0026818,318.25765,394.314,2.975,-9999,-9999,-9999,15.4456,2.88525,1.1075,0.06,0.84260141,0.95446222,464.11789,0.0030317526,282694.11
2012-01-25,25,-0.565,28.916,305.206,1.209,100.492,0,1.125,0.11704762,17.853917,1.4591739,314.67867,394.533,2.865,-9999,-9999,-9999,10.4082,2.45219,-0.06,-0.9425,0.80932227,0.95196163,390.64059,0.0028874776,281166.62
2012-01-26,26,0.693,16.057,317.836,0.181,98.945,8.128,1.896,-9999,13.592292,0.5885,319.33913,394.554,2.948,-9999,-9999,-9999,13.7919,-0.102145,1.6285,-0.592,1.0074614,0.9646451,49.413254,0.0039353899,285050.69
2012-01-27,27,1.726,42.217,302.507,0.947,98.639,4.826,2.308,0.23051724,20.803771,3.5149149,320.47112,394.083,2.944,-9999,-9999,-9999,12.1837,-9.11168,4.338,0.408,1.2,0.92314088,254.9135,0.0037760157,285690.42
2012-01-28,28,0.834,74.54,287.995,1.534,99.356,1.27,3.806,0.454175,39.301167,4.5243125,318.77738,393.974,3.015,-9999,-9999,-9999,20.7369,3.01926,2.118,-0.4105,0.87290623,0.94277681,460.48389,0.0031097204,283128.22
2012-01-29,29,-0.036,61.148,276.241,1.847,99.699,0,3.507,0.40630435,17.702854,5.6370833,314.0915,393.086,2.661,-9999,-9999,-9999,20.7059,6.21234,2.5695,-3.0855,0.76921448,0.91559368,609.12294,0.0026551666,281117.49
2012-01-30,30,0.556,56.087,287.732,2.11,99.926,0,2.904,0.357,24.825271,3.8025625,315.24865,394.746,2.465,-9999,-9999,-9999,15.0094,-6.93172,7.347,-4.535,1.2,0.93650709,681.56379,0.0026516278,281703.6
2012-01-31,31,9.496,102.612,326.269,4.565,99.272,0,3.179,0.39293617,78.112854,5.1873333,345.67248,390.815,3.061,-9999,-9999,-9999,5.28008,-36.3643,12.7935,5.6655,0,0.95187973,878.24637,0.0045858272,295523.8
2012-02-01,32,7.702,96.504,326.216,1.875,99.524,1.27,2.206,0.2344359,68.58525,5.7735833,348.40435,393.592,4.703,-9999,-9999,-9999,5.91312,-9.58558,10.2015,3.342,0,0.94354987,356.27018,0.0054124281,295787.33
2012-02-02,33,3.199,54.362,307.707,1.461,100.314,0,1.533,0.13612195,24.933812,3.3031064,333.95029,395.162,5.545,-9999,-9999,-9999,17.8761,9.57508,4.642,1.6455,0.65119605,0.94271915,368.31955,0.0038688303,287402.82
2012-02-03,34,2.663,121.377,287.762,1.344,100.926,0,1.384,0.14230556,71.959312,7.2129792,330.07912,398.124,5.669,-9999,-9999,-9999,15.8616,14.3352,8.0085,-0.233,0.5252742,0.94390714,348.87189,0.0037404293,286543.14
2012-02-04,35,1.971,58.099,308.368,0.943,100.357,0.254,2.47,0.18846809,33.490896,3.9951875,329.13235,394.337,5.451,-9999,-9999,-9999,18.8195,14.2903,2.947,0.8835,0.56839667,0.93565924,249.56024,0.0037898498,285971.23
