time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,12.603,160.843,273.725,11.128,87.125,0,3.845,0.21110417,36.895417,31.961521,370.97292,9.771,2.271,-9999,-0.330896,8.00533,34.837,20.33,6.5885,0.18685562,0.83422836,2527.585,0.0024697644,293356.18
2012-01-02,2,10.699,160.422,264.215,9.997,87.323,0,3.922,0.2156875,34.609583,32.529771,364.98542,9.183,2.125,-9999,-3.93315,7.55948,32.5824,18.87,4.6515,0.18831903,0.83140984,2591.0647,0.0020404278,290369.31
2012-01-03,3,11.868,161.384,274.233,11.608,87.153,0,2.232,0.13722917,37.764792,30.879562,368.84167,9.406,2.104,-9999,1.19431,7.70994,36.7115,21.685,2.4565,0.17356349,0.83938942,3088.2834,0.0016330535,290525.72
2012-01-04,4,12.112,163.198,267.24,11.497,87.144,0,2.795,0.187,33.26125,31.982312,368.74167,9.767,2.104,-9999,-3.54067,6.91737,31.563,19.155,6.39,0.1797636,0.83613966,2905.0784,0.0018737492,291372.68
2012-01-05,5,10.638,166.978,255.59,10.927,86.88,0,2.816,0.15141667,31.642083,33.104667,361.75,8.481,1.938,-9999,-5.47129,6.59813,39.0851,18.135,2.4785,0.14443221,0.83454505,3234.4752,0.001346254,288572.57
2012-01-06,6,11.144,172.715,260.706,11.946,86.369,0,2.654,0.1580625,32.958958,32.442667,364.67917,8.983,1.958,-9999,-1.24065,7.67213,35.3738,19.6,2.8545,0.17823125,0.84186471,3846.7669,0.00093533191,288053.8
2012-01-07,7,11.958,170.995,268.631,11.835,86.181,0,3.144,0.21395833,36.874812,32.2055,367.24167,9.377,2.083,-9999,-1.29206,7.14065,36.9296,19.285,3.719,0.16202881,0.84150876,3199.9574,0.0015471552,290401.43
2012-01-08,8,6.65,171.845,253.433,6.208,86.109,0,3.165,0.24827083,40.226146,32.533583,349.4125,7.702,1.688,-9999,-11.9645,4.98742,47.0134,10.03,0.8895,0.095910411,0.84081706,1730.7206,0.0025818053,287653.51
2012-01-09,9,5.143,172.024,248.79,4.738,86.715,0,2.4,0.197625,40.788125,32.291688,344.66458,6.673,1.625,-9999,-6.87033,4.43659,34.2977,11.175,0.132,0.11453908,0.84195199,1327.227,0.0029251058,286997.23
2012-01-10,10,7.146,174.232,255.427,7.29,86.615,0,1.87,0.11579167,42.709917,32.322125,351.61667,7.208,1.792,-9999,-1.61621,6.3951,42.1976,16.2255,-1.811,0.13160619,0.84351741,2166.9226,0.0020312825,286775.69
2012-01-11,11,9.331,138.84,283.867,8.96,86.243,0,2.288,0.158875,36.176208,25.008958,359.02083,8.265,2.063,-9999,1.11977,5.30482,27.4285,16.545,3.4775,0.16206178,0.84736578,2469.6068,0.0020021931,288898.89
2012-01-12,12,8.577,115.612,302.171,7.817,86.243,0,1.925,0.12329167,36.71675,21.048917,360.99167,9.171,2.292,-9999,0.314688,5.05211,25.2295,14.82,4.158,0.16683756,0.84597706,2081.767,0.0024076743,289154.82
2012-01-13,13,7.156,181.444,248.533,7.67,86.662,0,2.541,0.166875,39.8425,34.718125,352.06458,7.835,2.313,-9999,-9.02606,5.86054,43.2005,14.425,1.2905,0.11945405,0.83938849,2390.4346,0.001761798,286112.03
2012-01-14,14,9.065,147.236,272.975,10.28,86.82,0,3.586,0.20241667,34.24125,28.310729,355.21667,6.892,2.208,-9999,1.62194,4.59348,32.0373,15.945,1.585,0.12539946,0.83872824,3648.2689,0.00089195896,285855.97
2012-01-15,15,12.11,120.987,326.406,9.048,86.583,0,3.105,0.21666667,46.884583,21.729854,377.3125,11.056,2.625,-9999,7.94387,5.3074,34.4431,16.86,7.462,0.13351782,0.8477415,1832.5701,0.0036498134,295810.83
2012-01-16,16,9.857,107.804,317.812,3.621,86.423,2.286,3.48,0.27408333,42.328521,17.815521,363.37708,10.485,3.875,-9999,-13.4056,20.101,22.5032,13.565,4.175,0.47180794,0.85817872,646.12232,0.0061648461,299834.15
2012-01-17,17,8.282,183.652,259.975,5.555,86.772,0,2.348,0.15289583,50.7475,32.9625,356.73542,8.702,4.229,-9999,-3.45517,16.2841,41.3422,15.8705,2.7535,0.28258104,0.84782875,1255.0906,0.0038617318,292493.49
2012-01-18,18,8.924,185.797,256.052,8.151,86.875,0,2.535,0.16308333,45.498521,34.322083,358.70417,8.45,4.354,-9999,-2.28202,12.3668,41.453,17.805,1.618,0.2297816,0.84407493,2158.9165,0.0023403937,289335.35
2012-01-19,19,11.204,187.249,261.525,11.605,86.444,0,2.234,0.146125,44.052917,34.714813,366.71458,9.285,4.146,-9999,0.801063,8.3725,33.532,20.34,3.3625,0.19979954,0.84360148,3463.0671,0.0012182608,288821.42
2012-01-20,20,12.143,191.804,260.05,12.783,86.335,0,2.335,0.16375,43.475417,36.177312,369,9.677,3.792,-9999,1.50479,8.93265,39.0901,20.03,4.436,0.18600871,0.84131457,3898.1651,0.00098403054,289179.54
2012-01-21,21,12.736,143.598,286.29,11.681,86.143,0,5.166,0.34627083,27.091458,26.36375,373.80417,10.263,3.646,-9999,3.29469,5.99397,16.3927,19.52,5.1745,0.26774728,0.84488422,2755.0659,0.0021900092,292790.45
2012-01-22,22,8.627,186.743,264.385,7.193,86.354,0,3.058,0.25158333,48.614792,34.941917,364.60208,10.535,3.375,-9999,-5.60642,5.25919,43.3437,12.705,3.479,0.10820735,0.84238027,1793.4977,0.002882802,290392.89
2012-01-23,23,10.143,170.835,283.512,9.755,86.18,0,2.823,0.20379167,49.982292,32.379063,369.48125,10.244,3.333,-9999,4.29704,7.83418,41.6089,17.61,1.9095,0.15844846,0.84066525,2651.4926,0.0019037739,289468.9
2012-01-24,24,7.067,156.397,279.269,4.903,86.039,0,3.694,0.30779167,45.196479,29.352917,358.5,10.323,3.146,-9999,-12.7346,4.20737,44.3936,10.89,3.148,0.086569671,0.84197615,1173.0759,0.0037369865,290960.55
2012-01-25,25,7.09,191.989,255.388,6.054,86.598,0,2.001,0.19316667,52.305417,36.030625,355.94583,8.598,3.063,-9999,-2.05946,8.24026,50.0626,14.755,-0.0885,0.14133543,0.84198454,1590.2573,0.0028942114,288876.73
2012-01-26,26,10.999,193.638,268.371,10.485,86.554,0,1.857,0.1351875,51.85625,36.475708,370.58333,9.994,3.042,-9999,4.40731,5.99607,47.1362,21.33,1.604,0.11285176,0.84148833,2760.0064,0.0018937087,290304.02
2012-01-27,27,12.498,194.304,285.598,11.528,86.296,0,2.588,0.1770625,60.242479,36.790521,380.12292,11.858,2.875,-9999,6.28565,6.82859,47.7991,19.615,6.7445,0.12500236,0.84079882,2765.1356,0.0021320244,292406.3
2012-01-28,28,11.499,183.785,287.308,9.5,86.696,0,2.685,0.18025,56.440417,34.026667,378.10833,12.365,2.479,-9999,-0.718167,6.601,46.145,17.02,7.648,0.12514693,0.84377941,2126.3745,0.0029174826,293365.95
2012-01-29,29,10.673,202.462,263.94,9.557,86.844,0,3.569,0.2123125,53.961479,39.330875,369.93125,10.6,2.438,-9999,-3.53875,5.52281,50.6345,17.995,4.5385,0.098345345,0.8373365,2370.3782,0.0023517057,291121.38
2012-01-30,30,12.254,200.355,269.733,11.731,86.403,0,3.356,0.20235417,51.93125,38.649271,376.26458,11.065,2.417,-9999,1.13573,6.14654,46.2245,20.43,3.8075,0.11736525,0.83829046,2984.5781,0.0018166583,291372.67
2012-01-31,31,11.36,184.096,274.383,11.026,86.419,0,3.12,0.19,48.929792,34.16475,372.325,11.288,2.396,-9999,-2.97312,7.41871,47.3318,18.345,4.6185,0.13550029,0.84346819,2943.4572,0.0017357472,290271.92
2012-02-01,32,11.22,197.06,265.788,11.324,86.531,0,3.052,0.18914583,49.748333,38.663542,371.18125,11.469,2.385,-9999,-1.82871,5.95299,48.1865,18.755,3.404,0.10995652,0.83597929,3222.3097,0.0014295115,289365.63
2012-02-02,33,10.176,210.617,249.633,10.59,85.987,0,3.979,0.3075625,51.6575,41.049292,364,9.705,2.123,-9999,-7.2681,5.85438,56.244,16.35,4.6815,0.094275889,0.83688999,3219.0057,0.0013226935,288049.36
2012-02-03,34,6.168,208.903,243.681,7.633,86.176,0,2.304,0.1668125,54.595229,40.128896,354.55208,8.688,2,-9999,-6.15944,4.61971,53.6031,14.67,-1.8755,0.079345363,0.83886042,2720.2781,0.0013178027,284009.1
2012-02-04,35,9.322,182.11,270.981,9.335,86.273,0,2.994,0.1753125,50.068125,34.173,366.05208,9.698,2.104,-9999,2.093,4.09626,43.6234,16.85,2.974,0.085840092,0.84199868,2700.6274,0.0017253862,288197.83
2012-02-05,36,9.241,196.336,267.723,8.151,86.325,0,4.834,0.28397917,57.78625,37.659125,365.56667,10.079,2.063,-9999,-1.91381,4.10535,47.0524,15.66,4.2905,0.080248838,0.83906022,2081.0415,0.0025335911,290136.93
2012-02-06,37,9.875,198.583,270.131,9.037,86.243,0,3.127,0.20314583,57.537271,38.23525,369.95833,10.665,2.063,-9999,-0.280438,5.62081,52.7436,17.6,2.929,0.096305437,0.83854602,2343.8676,0.0022622264,290095.69
2012-02-07,38,11.759,205.407,292.108,10.556,86.287,0,4.024,0.23929167,73.676875,38.735896,382.81667,12.458,2.063,-9999,8.56823,5.76623,55.5378,18.63,3.5095,0.094059559,0.84133925,2526.0718,0.0023376588,292177.69
2012-02-08,39,9.966,84.702,307.438,6.918,86.463,0,3.646,0.23495833,9.535,14.57425,365.87708,11.092,1.708,-9999,-10.984,3.17636,16.3258,12.865,4.4985,0.16287222,0.853195,1481.1,0.003840222,294132.13
2012-02-09,40,10.616,213.478,275.81,8.083,86.565,0,3.294,0.2511875,70.516708,40.333667,375.70625,11.706,1.833,-9999,4.89156,5.83215,53.2997,18.235,2.463,0.098629588,0.84108821,1771.4012,0.0033870428,293652.44
2012-02-10,41,12.004,217.616,274.942,10.64,86.622,0,2.226,0.16954167,65.975583,41.482333,381.9875,12.74,1.729,-9999,2.71792,7.39734,56.1563,19.63,4.1615,0.11639522,0.83989734,2488.2389,0.0024299793,292654.72
2012-02-11,42,14.011,222.212,282.194,13.172,86.191,0,3.684,0.22502083,68.188833,43.170687,389.89167,13.429,1.625,-9999,6.25523,5.90717,56.6519,21.97,5.503,0.094425477,0.83732666,3031.702,0.0020327033,293678.56
2012-02-12,43,11.731,196.74,280.804,9.23,85.857,0,6.263,0.466,57.49625,36.906917,380.2375,13.552,1.417,-9999,-4.92833,5.5652,54.7829,15.24,6.6165,0.092218313,0.84203979,1970.489,0.0032947896,294542.38
2012-02-13,44,9.309,226.32,275.648,7.543,85.971,0,3.574,0.2776875,81.008813,43.741125,374.76875,12.188,1.375,-9999,2.38417,6.75508,69.2798,15.695,2.2645,0.088841858,0.8380325,1807.3274,0.0030242723,291431.98
2012-02-14,45,7.068,174.767,283.733,5.167,85.827,0,5.625,0.41808333,63.395417,32.514812,360.1875,11.442,1.396,-9999,-15.5064,4.561,69.5313,10.825,2.1015,0.061558354,0.84313717,1261.4984,0.0035545658,290505.5
2012-02-15,46,6.463,233.983,249.319,7.268,86.157,0,3.243,0.200125,76.401625,45.668958,358.16875,9.273,1.333,-9999,-1.62244,7.84173,68.1159,15.155,-2.94,0.10323821,0.83669359,2347.8199,0.0017226321,285317.65
2012-02-16,47,8.626,190.727,288.775,6.895,85.997,0,4.5,0.313125,75.501917,35.4635,366.33542,10.892,1.292,-9999,-0.466854,5.65671,60.4661,12.325,5.53,0.085548542,0.84321402,1675.0315,0.0031105658,290961.29
2012-02-17,48,4.512,57.278,331.06,1.114,86.304,0.508,2.111,0.18785417,36.250146,7.5697083,342.76667,7.996,1.438,-9999,-19.5527,5.25071,12.6401,6.261,3.2385,0.29348643,0.88326946,251.24276,0.0052891722,292273.24
2012-02-18,49,7.604,234.594,291.367,5.306,86.4,0,2.031,0.1464375,119.75835,41.993,361.17917,9.585,2.438,-9999,5.07369,23.56,54.3251,14.59,1.542,0.30249688,0.84817435,1248.9647,0.0037020396,291412.87
2012-02-19,50,8.683,224.723,265.154,7.287,85.946,0,4.404,0.30695833,81.994208,42.401042,362.78125,9.731,2.958,-9999,-0.322271,8.89567,68.4886,14.535,1.3665,0.1149545,0.84126834,1821.8018,0.0028590944,290389.9
2012-02-20,51,8.796,240.352,260.763,7.638,86.317,0,1.601,0.1769375,80.799917,45.22875,371.98542,11.371,3.021,-9999,3.64729,10.9031,65.0242,16.505,1.815,0.14359921,0.84162535,1949.5148,0.0026552952,289993.97
2012-02-21,52,11.061,242.017,262.567,11.361,86.461,0,2.322,0.1696875,77.047667,45.67375,378.68958,11.838,2.563,-9999,4.51479,8.93945,69.1765,19.03,3.019,0.11443822,0.84124012,3343.5552,0.0013033401,288890.41
