time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,14.384,168.05,263.156,12.599,85.965,0,4.178,0.2861875,24.172958,32.222813,373.07708,8.409,13.142,-9999,1.2164,6.8197,31.0078,18.92,10.425,0.18028418,0.83910541,2604.9993,0.0027375987,295815.67
2012-01-02,2,11.8,169.923,251.513,10.718,86.159,0,3.927,0.27489583,23.762896,32.989396,363.09375,7.817,12.917,-9999,-4.16296,7.82361,29.3898,17.48,7.801,0.21023631,0.8374205,2594.0442,0.0022509281,292002.07
2012-01-03,3,13.385,164.678,264.054,12.624,85.984,0,2.719,0.13727083,29.128771,30.936979,367.44167,7.585,12.604,-9999,0.726896,5.75547,35.5292,20.635,6.5385,0.13940937,0.8418476,3004.6398,0.0019724853,292898.89
2012-01-04,4,13.339,169.162,255.396,12.438,85.98,0,3.394,0.26220833,25.342896,32.463292,365.33125,7.946,12.417,-9999,-4.69025,5.51205,33.0931,17.815,9.325,0.14278017,0.83899197,2919.7007,0.0020741272,293106.76
2012-01-05,5,12.566,173.063,243.648,12.413,85.717,0,3.089,0.16895833,21.223604,33.728833,360.06458,6.873,12.25,-9999,-5.24796,6.23273,34.1673,16.775,8.345,0.15427538,0.83689475,3281.5038,0.0015499212,291019.38
2012-01-06,6,13.99,171.334,250.385,14.044,85.207,0,2.682,0.12472917,23.962292,33.057042,363.43333,6.719,12.042,-9999,-3.42167,6.50908,33.1757,18.27,10.845,0.16401956,0.8382657,3621.0786,0.0014023958,292081.69
2012-01-07,7,12.755,170.172,256.067,12.168,85.027,0,3.291,0.2023125,28.240021,32.794708,363.8,7.348,12.042,-9999,-1.92969,5.66862,36.2697,18.075,9.055,0.13516564,0.83842321,3022.8648,0.0018750884,292022.25
2012-01-08,8,5.75,167.944,236.198,5.568,84.945,0,4.161,0.187125,29.005479,32.860255,341.425,6.323,11.792,-9999,-13.0055,4.57395,34.777,8.825,2.644,0.11623481,0.83635678,1595.0607,0.0026549037,286931.76
2012-01-09,9,5.218,169.537,234.452,4.254,85.543,0,2.784,0.24675,31.228958,32.398146,338.96875,5.306,11.396,-9999,-8.73446,3.86847,36.8701,9.88,1.7525,0.094958414,0.83956163,1133.7447,0.0033521706,288140.27
2012-01-10,10,8.819,171.313,244.992,8.053,85.435,0,2.329,0.1476875,32.398333,32.057604,350.60625,5.535,11.396,-9999,-2.0781,5.67691,40.7031,14.935,2.4485,0.12239993,0.84236855,2137.2896,0.0023925411,289360.2
2012-01-11,11,10.096,137.325,275.35,9.587,85.074,0,3.722,0.15525,27.955,25.160062,358.57917,7.156,11.563,-9999,1.1119,4.32716,28.4596,15.295,6.874,0.13197888,0.84515461,2570.3367,0.002023175,289720.17
2012-01-12,12,8.924,112.323,295.904,8.098,85.081,0,2.545,0.1811875,28.920667,20.375479,358.21875,8.24,11.646,-9999,0.570917,4.43153,25.8706,13.38,6.194,0.14624483,0.84645281,2133.0193,0.0024286746,289556.06
2012-01-13,13,7.997,178.859,236.513,8.228,85.482,0,3.496,0.30229167,25.899188,34.403292,353.42292,7.606,11.417,-9999,-6.84608,4.55565,41.7848,13,4.1755,0.098308281,0.83868085,2470.3266,0.0018153258,287091.05
2012-01-14,14,10.062,154.597,264.95,10.724,85.652,0,4.344,0.22335417,31.461229,29.597687,357.29583,6.752,11.333,-9999,0.644104,4.85521,26.6743,14.255,5.522,0.15398939,0.83931302,3404.8187,0.0011618094,287532.58
2012-01-15,15,11.636,123.259,312.369,8.565,85.428,0,3.467,0.19470833,41.751167,21.968896,371.2875,9.34,11.458,-9999,5.95965,1.97667,30.2044,15.355,9.265,0.061423377,0.84872813,1757.3023,0.0037346302,295546.51
2012-01-16,16,9.048,123.247,299.94,3.174,85.213,4.191,4.513,0.27895833,42.314167,22.609042,357.52083,9.248,11.542,-9999,-10.2505,20.4626,22.9559,12.24,6.7685,0.47128758,0.84499071,586.64302,0.0061081588,298879.39
2012-01-17,17,8.976,181.147,246.552,5.694,85.599,0,2.856,0.13991667,40.864583,33.012021,353.16042,7.004,11.667,-9999,-6.71794,17.4086,42.5431,14.49,5.56,0.29037709,0.84585276,1223.436,0.0041971216,294029.43
2012-01-18,18,10.7,183.727,244.5,9.451,85.698,0,2.235,0.15047917,38.321458,34.878021,354.37292,6.333,11.688,-9999,-5.90523,15.0907,40.0724,16.77,6.556,0.27356512,0.84045187,2311.5512,0.0024771777,291462.19
2012-01-19,19,13.161,185.895,251.342,13.222,85.275,0,3.021,0.12254167,37.132083,34.403833,364.53125,6.919,11.729,-9999,-0.334333,8.81752,34.5448,19.145,9.525,0.20334521,0.84383107,3530.7413,0.0013890413,291215.16
2012-01-20,20,13.535,190.737,248.158,13.827,85.173,0,3.62,0.14833333,34.11625,35.772917,367.72708,7.523,11.75,-9999,-0.757354,7.76248,31.482,18.7,9.8,0.19779801,0.84206909,3772.8122,0.0012213531,291171.81
2012-01-21,21,13.435,145.664,274.923,11.922,84.977,0,5.657,0.31529167,21.764792,26.663729,370.93125,8.365,11.813,-9999,2.71313,8.36137,18.8841,18.155,9.76,0.30689028,0.84527314,2621.6485,0.0025479228,294387.73
2012-01-22,22,7.711,186.106,248.281,6.53,85.181,0,4.874,0.24822917,42.468958,34.66,355.90833,8.573,11.813,-9999,-7.04969,7.7113,31.7623,11.525,3.427,0.19535335,0.84300119,1683.9316,0.0029137882,289549.78
2012-01-23,23,11.045,169.352,272.392,10.201,85.018,0,3.005,0.15258333,47.394375,29.897667,363.41875,7.727,11.521,-9999,2.13042,6.5432,41.1318,16.3755,6.6965,0.13724594,0.84994872,2582.3532,0.0021656941,291030.21
2012-01-24,24,5.985,163.674,259.55,4.374,84.862,0,5.315,0.25664583,42.6685,29.733542,349.54375,8.55,11.583,-9999,-10.7154,4.6358,41.324,10.82,3.108,0.10086641,0.84626483,1102.1444,0.0036468277,289647.74
2012-01-25,25,7.627,189.76,242.388,6.399,85.417,0,1.724,0.20466667,45.154021,34.857438,350.875,6.929,11.313,-9999,-3.6279,9.27317,43.9904,14.16,1.5905,0.17409967,0.8448142,1644.4169,0.0029575663,289574.8
2012-01-26,26,11.813,191.475,256.352,10.704,85.384,0,1.765,0.162375,46.868,35.013312,364.68333,7.702,11.229,-9999,1.92658,8.06937,45.1192,19.425,4.4755,0.15171248,0.84540786,2582.4371,0.0022902884,292113.54
2012-01-27,27,13.294,192.881,274.331,11.935,85.138,0,3.117,0.1669375,55.802958,35.367915,375.67083,9.148,11.521,-9999,6.03913,6.7231,40.5571,18.31,9.37,0.14219695,0.84504673,2677.1169,0.002430299,293951.97
2012-01-28,28,11.588,185.752,277.069,9.511,85.533,0,3.702,0.3058125,53.075875,33.527833,374.975,10.837,11.5,-9999,1.41481,7.58899,37.7118,15.37,7.5185,0.16752445,0.84710024,2109.7154,0.0030076257,293680.75
2012-01-29,29,11.163,200.421,250.15,9.68,85.68,0,4.122,0.21591667,44.243938,37.673479,367.05417,9.356,11.208,-9999,-2.09404,7.21687,48.0955,16.71,6.939,0.13047479,0.84177088,2289.3453,0.0026035776,292243.51
2012-01-30,30,12.677,198.909,256.565,11.63,85.244,0,4.024,0.18729167,44.135333,36.987208,372.75208,9.373,11.042,-9999,0.0659375,6.85981,48.3777,18.97,8.032,0.12418753,0.84320558,2750.733,0.0022089091,292778.41
2012-01-31,31,12.099,189.236,262.746,11.252,85.258,0,3.165,0.19758333,45.969375,35.431708,369.41458,9.573,10.896,-9999,-1.3804,7.7061,50.7775,17.005,9.27,0.13176514,0.84229283,2769.3414,0.0020855851,291889.21
2012-02-01,32,11.997,195.886,253.692,11.33,85.371,0,3.158,0.1678125,46.235,36.513312,365.37292,9.785,10.96,-9999,-3.76721,5.52201,45.8367,16.91,8.715,0.10751847,0.84288545,2854.9176,0.0019568413,291464.84
2012-02-02,33,8.991,209.366,233.635,9.502,84.827,0,5.564,0.279375,45.760417,39.716979,355.81042,8.114,10.483,-9999,-8.10915,6.60411,47.3955,14.905,3.9825,0.12229922,0.8405472,2960.6508,0.0014420716,287156.88
2012-02-03,34,7.04,203.618,231.065,7.926,84.995,0,2.948,0.17,43.898854,37.738458,351.60417,7.398,10.313,-9999,-5.83175,5.43554,53.0112,13.32,2.185,0.092999883,0.84364016,2603.7392,0.0015499085,285465.72
2012-02-04,35,9.435,162.117,260.527,9.021,85.111,0,3.873,0.19197917,33.425521,29.798292,358.26458,7.9,10.313,-9999,-2.26698,4.78019,31.1663,15.255,5.3695,0.13298072,0.84473206,2470.4763,0.002044523,289109.23
2012-02-05,36,8.208,183.777,253.65,7.234,85.174,0,6.428,0.29829167,43.577104,34.32025,358.17917,8.465,10.229,-9999,-2.73587,5.34656,39.2165,13.95,3.5545,0.1199774,0.84263786,1892.9001,0.0026631543,289422.68
2012-02-06,37,10.008,194.857,257.41,8.797,85.078,0,4.596,0.17114583,49.615417,35.033625,366.30417,8.877,10.25,-9999,0.902292,7.13991,46.7281,16.27,6.1155,0.13254453,0.84760742,2190.6196,0.0025490782,290946.49
2012-02-07,38,11.606,204.803,279.988,10.095,85.141,0,4.88,0.2165,70.66,36.711667,376.42083,10.51,10.375,-9999,6.74558,5.87356,52.1364,16.85,6.3985,0.10125089,0.84799405,2353.886,0.0026053021,292693.04
2012-02-08,39,9.466,90.415,297.948,6.652,85.309,0,3.867,0.2151875,9.1472083,16.145667,362.09583,10.377,10.271,-9999,-7.14327,5.5969,14.3439,12.27,7.2065,0.2806758,0.84848381,1463.0583,0.0037912096,293507.1
2012-02-09,40,10.835,212.668,262.867,8.115,85.383,0,3.908,0.218,64.494583,38.796208,370.9875,9.915,10.021,-9999,3.04833,5.09231,47.0953,16.715,5.3375,0.097576992,0.84571877,1744.1794,0.0035480053,294274.94
2012-02-10,41,12.574,216.632,261.384,10.793,85.185,0,2.741,0.17861702,51.358511,37.621979,375.12128,10.477,10,-9999,2.53238,7.16225,57.2315,18.24,7.6395,0.11122586,0.85202993,2385.558,0.0027511869,294030.59
2012-02-11,42,14.272,218.201,268.871,12.834,84.466,0,4.117,0.22410417,60.579792,40.356354,384.56042,11.165,9.854,-9999,5.8164,6.10623,50.0669,20.63,8.98,0.10870375,0.84391721,2750.4351,0.0025252671,295172.28
